Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
6,14295,2110,5,6.420000076,15Q2,1,3,2,3,3,3,3,1,2,1,1,3,3,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,14642,2220,5,3.75,15Q3,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,14653,2130,7,21.45000076,15Q3,2,3,3,2,2,2,2,2,2,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,14654,2110,7,32.09999847,15Q3,2,3,3,2,3,3,3,2,3,1,1,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14655,2220,7,18.75,15Q2,2,3,3,3,3,2,2,3,2,2,1,1,1,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
2,14657,2130,3,1.001000047,15Q3,2,2,2,1,3,1,3,3,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14661,2110,7,32.09999847,15Q3,1,2,,1,,1,,2,,1,,1,,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14663,2110,7,32.09999847,15Q3,2,3,3,3,3,3,3,2,2,1,3,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,14665,2210,2,0.375,15Q3,1,2,1,2,1,2,1,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14667,2110,7,32.09999847,15Q3,2,3,3,3,3,3,3,3,3,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,14708,2130,5,4.289999962,15Q3,1,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,14712,2110,7,32.09999847,15Q3,1,2,,2,,2,,2,,1,,1,,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14766,2110,8,64.19999695,15Q3,1,2,2,2,2,2,2,2,2,1,1,2,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14022,2120,6,10.01000023,14Q4,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,14241,2220,9,87.5,14Q4,1,2,2,2,2,2,2,1,2,1,2,1,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14273,2230,3,0.875,14Q4,1,2,1,3,1,2,2,1,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14700,2110,5,6.420000076,14Q4,1,1,2,1,2,2,3,2,2,2,1,2,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,13963,2210,5,3.75,14Q4,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
4,50717,2210,3,0.875,14Q4,2,2,,3,2,3,2,3,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13048,2110,2,0.64200002,14Q4,2,3,3,2,3,2,3,2,3,2,3,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13148,2230,4,1.875,14Q4,2,3,3,3,3,3,3,3,3,1,1,3,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14638,2110,3,1.498000026,14Q4,2,3,,3,,3,,2,,1,,1,,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,13847,2120,3,1.001000047,14Q4,2,2,3,2,3,2,3,2,2,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13060,2240,3,0.875,14Q4,1,1,3,1,2,1,3,2,2,1,2,2,3,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,50157,2120,9,100.1000061,14Q4,1,1,,1,,1,,1,,1,,1,,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,14657,2130,3,1.001000047,14Q4,2,1,3,1,3,1,3,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37210,2120,5,4.289999962,14Q4,2,3,3,2,3,1,3,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13827,2130,3,1.001000047,14Q4,1,,,1,1,2,2,2,2,1,1,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13671,2110,3,1.498000026,14Q4,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13459,2110,3,1.498000026,14Q4,2,2,3,2,2,1,2,2,1,2,2,3,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13319,2220,2,0.375,14Q4,1,2,3,2,2,2,2,2,2,1,1,2,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,96732,2110,7,32.09999847,14Q4,2,2,2,1,3,2,2,2,3,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13414,2120,4,2.144999981,14Q4,1,3,2,3,2,3,2,2,2,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,13209,2110,7,32.09999847,14Q4,1,2,1,2,2,3,3,2,2,1,2,1,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13781,2220,6,8.75,14Q4,1,2,2,3,3,2,3,2,3,1,2,1,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,50336,2210,2,0.375,14Q4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37254,2220,4,1.875,14Q4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,14710,2110,5,6.420000076,14Q4,1,1,,1,3,1,3,3,2,1,2,1,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96411,2110,6,14.9800005,14Q4,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,33500,2110,3,1.498000026,14Q4,1,1,1,1,1,1,1,2,2,1,3,1,3,1,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13318,2110,1,0.214000002,14Q4,1,2,1,1,1,1,1,2,1,1,1,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,14665,2210,2,0.375,14Q4,1,2,2,2,2,2,3,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13214,2210,2,0.375,12Q2,2,3,3,3,3,3,3,2,2,2,2,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13214,2210,2,0.375,12Q3,2,2,2,3,3,3,3,2,2,2,2,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37229,2110,1,0.214000002,14Q4,2,3,3,3,3,3,3,3,3,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,96660,2110,2,0.64200002,14Q4,1,2,2,1,2,1,3,2,2,2,1,2,2,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,11085,2110,7,32.09999847,14Q4,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13949,2130,5,4.289999962,14Q4,1,2,3,2,3,2,3,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,14849,2130,6,10.01000023,14Q4,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,50693,2130,1,0.143000007,14Q4,2,3,3,3,3,3,3,3,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,14010,2210,3,0.875,14Q4,2,3,3,3,3,3,3,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37248,2120,3,1.001000047,14Q4,1,2,3,2,3,2,3,2,2,1,1,1,1,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,14007,2210,9,87.5,14Q4,1,2,2,1,1,1,1,2,2,1,2,1,2,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,13753,2130,7,21.45000076,14Q4,1,2,,1,,2,,2,,3,,3,,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37247,2210,5,3.75,14Q4,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13381,2120,5,4.289999962,14Q4,1,1,2,1,2,1,2,2,2,1,1,2,2,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,14653,2130,7,21.45000076,14Q4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37206,2220,3,0.875,14Q4,1,2,1,1,2,2,2,2,2,1,3,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,13383,2130,3,1.001000047,14Q4,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37656,2110,5,6.420000076,14Q4,1,2,2,2,3,2,3,2,2,1,1,2,2,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37618,2130,9,100.1000061,14Q4,2,2,2,3,3,3,3,2,2,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13386,2110,3,1.498000026,14Q4,1,1,2,1,2,1,2,2,2,1,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,96446,2210,1,0.125,14Q4,2,3,3,3,3,3,3,2,2,1,1,3,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96674,2210,5,3.75,14Q4,2,3,3,3,3,,,,,,,,,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,53262,2220,8,37.5,14Q4,1,1,2,1,2,1,2,2,2,1,1,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,13984,2220,9,87.5,14Q4,2,3,2,3,2,3,2,3,3,1,1,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
8,13063,2110,4,3.210000038,14Q4,2,2,3,2,3,2,3,2,2,1,1,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13042,2220,2,0.375,14Q4,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13290,2220,2,0.375,14Q4,2,3,3,3,3,3,3,2,2,2,2,3,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13233,2220,4,1.875,10Q4,1,1,2,1,1,1,1,1,2,1,2,2,2,1,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,13238,2110,6,14.9800005,10Q4,1,2,2,2,1,2,1,2,2,3,3,3,3,1,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,13238,2110,6,14.9800005,11Q4,1,2,2,2,1,2,1,2,2,1,1,2,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13238,2110,6,14.9800005,12Q1,1,1,2,1,2,1,2,2,2,1,2,2,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13238,2110,6,14.9800005,12Q2,1,2,2,1,1,1,1,2,2,1,2,1,1,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13288,2220,4,1.875,10Q4,2,2,2,3,2,1,2,2,3,2,2,2,2,2,1,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,13290,2220,2,0.375,10Q4,1,1,2,,3,2,3,2,2,1,2,2,2,2,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,13290,2220,2,0.375,11Q3,2,3,2,3,2,3,3,2,2,1,1,2,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13290,2220,2,0.375,12Q4,1,,,3,3,3,3,2,2,1,1,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13294,2110,3,1.498000026,10Q4,2,2,,3,,2,,1,,3,,3,,3,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,13296,2110,3,1.498000026,10Q4,2,3,2,3,2,3,2,3,2,3,2,3,2,3,1,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,13296,2110,3,1.498000026,11Q3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13297,2220,3,0.875,10Q4,1,3,1,3,1,3,1,2,2,3,1,1,1,3,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,13300,2220,5,3.75,10Q4,2,3,,1,,1,,1,,1,,3,,2,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,13301,2210,3,0.875,10Q4,2,3,3,3,3,3,3,2,2,1,1,1,1,3,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,13315,2110,1,0.214000002,10Q4,2,3,2,3,3,3,3,2,3,2,1,3,3,3,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,13315,2110,1,0.214000002,11Q4,1,1,3,1,3,1,3,2,2,2,,2,1,2,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13358,2220,2,0.375,10Q4,2,3,3,3,3,3,3,2,2,1,1,2,2,3,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,13358,2220,2,0.375,11Q3,2,3,3,3,3,3,3,3,2,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13358,2220,2,0.375,12Q1,2,3,2,3,2,3,3,2,3,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13358,2220,2,0.375,12Q2,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13358,2220,2,0.375,12Q3,2,3,2,3,2,3,3,2,3,1,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10919,2220,3,0.699999988,08Q2,2,3,3,3,2,3,2,2,2,1,1,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13738,2220,3,0.875,08Q3,2,3,3,3,3,3,3,2,2,1,2,1,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96935,2220,3,0.875,08Q4,2,3,3,3,3,3,3,2,3,2,1,2,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13043,2220,3,0.875,09Q1,2,3,3,3,3,3,3,3,3,2,1,2,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13994,2220,3,0.875,09Q2,2,2,2,2,2,,,1,1,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10939,2220,3,0.875,10Q1,2,3,3,3,3,3,3,2,2,1,1,2,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10939,2220,3,0.875,10Q2,2,3,2,3,2,3,2,2,2,1,2,1,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10939,2220,3,0.875,10Q3,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10939,2220,3,0.875,10Q4,2,3,2,3,3,3,3,2,1,2,2,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10940,2220,5,3,08Q2,1,2,3,3,3,3,3,1,1,2,2,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10940,2220,5,3.75,09Q1,2,3,3,2,3,2,3,2,2,2,1,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13402,2240,2,0.375,15Q2,,2,,2,2,2,1,2,2,1,1,1,1,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,13851,2220,9,87.5,15Q2,2,3,2,1,1,1,1,2,2,2,2,3,2,3,1,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,14295,2110,5,6.420000076,15Q2,1,3,2,3,3,3,3,1,2,1,1,3,3,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,14655,2220,7,18.75,15Q2,2,3,3,3,3,2,2,3,2,2,1,1,1,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
4,91008,2120,1,0.143000007,15Q2,,3,3,2,2,2,2,2,2,1,1,1,1,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,96460,2220,3,0.875,15Q2,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,96491,2120,8,42.90000153,15Q2,2,2,2,,,1,1,2,2,1,1,1,1,2,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,96841,2110,3,1.498000026,15Q2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
5,11085,2110,7,32.09999847,15Q3,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,11113,2120,3,1.001000047,15Q3,2,3,2,2,2,2,2,3,3,3,2,3,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13013,2110,4,3.210000038,15Q3,1,2,2,1,2,1,2,3,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13014,2220,9,87.5,15Q3,,3,2,3,2,2,2,2,2,2,2,,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13015,2220,9,87.5,15Q3,1,2,2,1,1,1,1,1,1,2,2,2,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13026,2220,7,18.75,15Q3,1,2,3,3,1,2,1,1,2,1,1,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13034,2120,3,1.001000047,15Q3,1,3,2,2,3,2,3,2,2,1,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13045,2220,5,3.75,15Q3,1,2,2,1,2,1,2,3,2,1,1,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13048,2110,2,0.64200002,15Q3,2,3,3,2,3,3,3,3,3,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13060,2240,3,0.875,15Q3,2,3,1,3,1,2,1,2,1,1,1,1,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
8,13063,2110,4,3.210000038,15Q3,2,3,3,3,3,3,3,2,2,1,1,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
3,13081,2220,5,3.75,15Q2,2,3,3,2,2,2,2,2,2,2,1,2,2,3,3,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,13084,2110,2,0.64200002,15Q2,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
