"";"Datum";"factorn";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"154";1995-09-30;0,00303030303030303;1;0;NA;NA;NA
"167";1995-12-31;NA;0;0;NA;NA;NA
"176";1996-03-31;0,00303030303030303;-2;1;NA;NA;NA
"186";1996-06-30;0,00223880597014925;0;0;NA;NA;NA
"196";1996-09-30;0,0027027027027027;-1;-1;NA;NA;NA
"206";1996-12-31;0,00285714285714286;-1;0;NA;NA;NA
"215";1997-03-31;0,00220588235294118;-1;-1;NA;NA;NA
"225";1997-06-30;0,00285714285714286;0;NA;NA;NA;NA
"255";1998-03-31;0,00319148936170213;0;0;NA;NA;NA
"615";1993-06-30;0,0016304347826087;-1;-1;NA;NA;NA
"98";1994-03-31;0,00211267605633803;0;0;NA;NA;NA
"128";1994-12-31;NA;0;0;NA;NA;NA
"137";1995-03-31;0,00211267605633803;-1;-1;NA;NA;NA
"145";1995-06-30;0,00215827338129496;0;0;NA;NA;NA
"155";1995-09-30;0,00303030303030303;0;-1;NA;NA;NA
"117";1994-09-30;NA;1;2;NA;NA;NA
"146";1995-06-30;0,00215827338129496;2;2;NA;NA;NA
"156";1995-09-30;0,00303030303030303;0;1;NA;NA;NA
"168";1995-12-31;NA;-1;-1;NA;NA;NA
"177";1996-03-31;0,00303030303030303;-1;0;NA;NA;NA
"295";1999-03-31;0,00447761194029851;0;0;NA;NA;NA
"303";1999-06-30;0,00384615384615385;0;0;NA;NA;NA
"352";2000-09-30;0,00397727272727273;-1;0;NA;NA;NA
"403";2001-12-31;0,00335820895522388;1;1;0;0;NA
"616";1993-06-30;0,0016304347826087;1;1;NA;NA;NA
"617";1993-06-30;0,00652173913043478;0;0;NA;NA;NA
"99";1994-03-31;0,00845070422535211;0;0;NA;NA;NA
"106";1994-06-30;0,00816326530612245;-1;0;NA;NA;NA
"118";1994-09-30;NA;0;0;NA;NA;NA
"129";1994-12-31;NA;0;0;NA;NA;NA
"138";1995-03-31;0,00845070422535211;0;0;NA;NA;NA
"187";1996-06-30;0,00895522388059702;-1;0;NA;NA;NA
"216";1997-03-31;0,00882352941176471;1;0;NA;NA;NA
"226";1997-06-30;0,0114285714285714;-1;0;NA;NA;NA
"618";1993-06-30;0,0016304347826087;0;0;NA;NA;NA
"910";1994-03-31;0,00211267605633803;NA;1;NA;NA;NA
"107";1994-06-30;0,00204081632653061;NA;1;NA;NA;NA
"119";1994-09-30;NA;-1;-2;NA;NA;NA
"1210";1994-12-31;NA;0;1;NA;NA;NA
"139";1995-03-31;0,00211267605633803;NA;0;NA;NA;NA
"147";1995-06-30;0,00215827338129496;0;0;NA;NA;NA
"157";1995-09-30;0,00303030303030303;-1;0;NA;NA;NA
"169";1995-12-31;NA;0;0;NA;NA;NA
"178";1996-03-31;0,00303030303030303;1;-1;NA;NA;NA
"188";1996-06-30;0,00223880597014925;-1;-1;NA;NA;NA
"197";1996-09-30;0,0027027027027027;0;0;NA;NA;NA
"207";1996-12-31;0,00285714285714286;0;1;NA;NA;NA
"217";1997-03-31;0,00220588235294118;2;1;NA;NA;NA
"246";1997-12-31;0,00352941176470588;0;2;NA;NA;NA
"256";1998-03-31;0,00319148936170213;0;0;NA;NA;NA
"284";1998-12-31;0,00352941176470588;0;0;NA;NA;NA
"296";1999-03-31;0,00447761194029851;1;1;NA;NA;NA
"322";1999-12-31;0,00180722891566265;0;-1;NA;NA;NA
"363";2000-12-31;0,00267857142857143;NA;0;NA;NA;NA
"442";2002-12-31;0,00555555555555556;-1;-1;0;0;NA
"452";2003-03-31;0,00526315789473684;0;0;0;-1;NA
"462";2003-06-30;0,00508474576271186;0;0;0;0;NA
"472";2003-09-30;0,00576923076923077;0;0;0;0;NA
"482";2003-12-31;0,00588235294117647;0;0;0;0;NA
"491";2004-03-31;0,0075;0;0;0;0;NA
"501";2004-06-30;0,0075;0;0;0;0;NA
"52";2004-12-31;0,00882352941176471;-1;-1;0;-1;NA
"531";2005-03-31;0,00625;0;0;0;0;NA
"541";2005-06-30;0,00697674418604651;0;0;0;0;NA
"619";1993-06-30;0,0016304347826087;-1;-1;NA;NA;NA
"208";1996-12-31;0,00285714285714286;-1;-2;NA;NA;NA
"218";1997-03-31;0,00220588235294118;NA;0;NA;NA;NA
"620";1993-06-30;0,0016304347826087;0;0;NA;NA;NA
"1110";1994-09-30;NA;1;1;NA;NA;NA
"621";1993-06-30;0,0016304347826087;-1;-1;NA;NA;NA
"911";1994-03-31;0,00211267605633803;-1;0;NA;NA;NA
"108";1994-06-30;0,00204081632653061;-1;0;NA;NA;NA
"1111";1994-09-30;NA;0;1;NA;NA;NA
"1211";1994-12-31;NA;-1;0;NA;NA;NA
"1310";1995-03-31;0,00211267605633803;1;1;NA;NA;NA
"148";1995-06-30;0,00215827338129496;0;0;NA;NA;NA
"158";1995-09-30;0,00303030303030303;0;0;NA;NA;NA
"1610";1995-12-31;NA;0;0;NA;NA;NA
"179";1996-03-31;0,00303030303030303;1;0;NA;NA;NA
"189";1996-06-30;0,00223880597014925;-1;1;NA;NA;NA
"198";1996-09-30;0,0027027027027027;0;-1;NA;NA;NA
"209";1996-12-31;0,00285714285714286;1;0;NA;NA;NA
"219";1997-03-31;0,00220588235294118;1;1;NA;NA;NA
"227";1997-06-30;0,00285714285714286;0;0;NA;NA;NA
"235";1997-09-30;0,0025;0;0;NA;NA;NA
"247";1997-12-31;0,00352941176470588;1;-1;NA;NA;NA
"257";1998-03-31;0,00319148936170213;0;NA;NA;NA;NA
"285";1998-12-31;0,00352941176470588;1;NA;NA;NA;NA
