Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Comments,Latecomer,NewRecruit,WrongClassific,Duplicate,Imputed
01,30788,0099,3,100,11Q1,2,2,3,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,3,100,11Q2,2,2,2,3,3,2,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,3,100,11Q3,2,2,2,1,1,1,1,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,3,100,11Q4,2,2,2,3,3,2,3,1,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,3,100,12Q1,2,2,2,2,2,2,3,1,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,3,100,12Q2,2,2,2,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,3,100,12Q3,2,2,2,3,3,2,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,3,100,12Q4,2,2,3,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30974,0099,0,100,01Q2,1,2,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30974,0099,0,100,01Q3,2,3,3,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30974,0099,0,100,01Q4,2,3,3,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30974,0099,0,100,02Q1,1,1,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30974,0099,0,100,02Q4,1,3,2,2,3,3,3,3,3,2,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30974,0099,0,100,03Q1,2,2,2,3,2,3,2,3,2,3,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30974,0099,0,100,03Q2,1,2,2,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30974,0099,0,100,03Q3,1,2,2,2,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30974,0099,0,100,03Q4,,2,3,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30974,0099,0,100,04Q1,2,3,3,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30974,0099,0,100,04Q2,2,2,2,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30974,0099,0,100,04Q3,2,3,2,3,2,3,2,3,2,3,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30974,0099,0,100,04Q4,1,2,2,2,2,2,3,3,3,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30974,0099,0,100,05Q1,1,2,2,2,3,2,3,3,3,2,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30974,0099,0,100,05Q2,,2,2,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30974,0099,0,100,05Q3,2,3,3,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30974,0099,0,100,06Q2,,2,2,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
