Streek;Idnr;Sektor;Gewig;Faktor;OpnameQ;Q1;Q2A;Q2P;Q3A;Q3P;Q4A;Q4P;Q5;Q6;Q7A;Q7P;Q8A;Q8P;Q9;Q10;Q11A;Q11P;Q12A;Q12P;Q13A;Q13P;Q14;Latecomer;NewRecruit;WrongClassif;Duplicate
01;96970;3510;8;300;09Q3;2;3;1;3;1;3;1;2;1;1;1;1;1;3;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;96970;3510;8;300;10Q1;2;1;1;1;1;1;1;3;2;1;1;1;1;3;1;1;;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;96970;3510;8;300;11Q2;2;2;1;2;1;2;1;3;2;1;;2;1;3;1;1;;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;96970;3510;8;300;11Q3;2;2;1;2;1;2;1;3;1;1;1;1;1;2;2;2;1;2;1;3;;3;FALSE;FALSE;FALSE;FALSE
01;96970;3510;8;300;12Q1;1;1;1;2;1;2;1;2;1;1;1;1;1;3;1;1;1;1;1;1;1;1;FALSE;FALSE;FALSE;FALSE
01;96970;3510;8;300;12Q2;2;3;1;3;1;3;1;3;2;3;1;3;1;3;1;2;;2;1;2;1;1;FALSE;FALSE;FALSE;FALSE
01;96973;3510;9;700;01Q2;2;3;3;3;3;3;3;2;1;;;2;2;2;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;96973;3510;9;700;01Q3;2;2;3;2;3;2;3;3;1;2;2;2;2;2;1;1;1;1;1;1;1;3;FALSE;FALSE;FALSE;FALSE
01;96973;3510;9;700;02Q1;1;;;1;;1;;2;1;2;;2;;2;1;;;1;;1;;2;FALSE;FALSE;FALSE;FALSE
01;96973;3510;9;700;02Q3;1;2;2;2;2;3;3;2;1;1;1;1;1;2;1;2;;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;96973;3510;9;700;03Q1;1;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;3;FALSE;FALSE;FALSE;FALSE
01;96973;3510;9;700;03Q3;1;3;2;3;2;3;3;2;1;2;;2;;2;1;2;;2;;2;;2;FALSE;FALSE;FALSE;FALSE
01;96973;3510;9;700;03Q4;2;3;2;3;2;3;2;2;1;1;1;1;1;2;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;96979;3510;5;30;01Q2;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;2;2;2;2;2;2;3;FALSE;FALSE;FALSE;FALSE
01;96979;3510;5;30;01Q3;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;2;2;2;2;2;2;1;FALSE;FALSE;FALSE;FALSE
01;96979;3510;5;30;01Q4;1;2;2;2;1;2;2;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;96979;3510;5;30;02Q1;1;;2;2;2;2;2;;2;3;3;3;3;3;1;2;2;2;2;2;2;3;FALSE;FALSE;FALSE;FALSE
01;96979;3510;5;30;02Q2;2;3;2;3;2;3;3;2;1;2;3;2;3;1;1;;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;96979;3510;5;30;02Q3;1;2;3;2;3;3;3;3;1;2;3;2;3;2;1;;;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;96979;3510;5;30;02Q4;2;3;2;3;3;3;3;3;2;3;2;3;3;3;1;2;;2;2;2;2;3;FALSE;FALSE;FALSE;FALSE
01;96979;3510;5;30;03Q1;2;3;;3;3;3;3;3;2;3;;3;1;3;1;2;;2;1;2;1;2;FALSE;FALSE;FALSE;FALSE
01;96979;3510;5;30;03Q2;2;3;2;3;2;3;2;2;2;3;2;3;2;3;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;96979;3510;5;30;03Q3;;;;;;;;;1;2;1;2;1;3;1;1;1;1;1;1;1;3;FALSE;FALSE;FALSE;FALSE
01;96979;3510;5;30;04Q1;2;3;2;3;2;3;2;;2;3;2;3;2;3;2;3;2;3;2;3;2;3;FALSE;FALSE;FALSE;FALSE
01;96979;3510;5;30;04Q2;;;;;;;;;1;2;2;2;2;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;96979;3510;5;30;04Q3;;;;;;;;;2;3;1;3;1;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;96979;3510;5;30;04Q4;;;;;;;;;2;;;3;1;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97008;3510;9;700;01Q2;;3;2;3;2;3;2;;1;2;2;2;2;2;2;3;2;3;2;3;2;2;FALSE;FALSE;FALSE;FALSE
01;97008;3510;9;700;01Q3;2;3;2;3;2;3;2;1;1;2;2;2;2;2;2;3;2;3;2;3;2;2;FALSE;FALSE;FALSE;FALSE
01;97008;3510;9;700;01Q4;2;2;2;2;2;2;2;2;1;2;;2;;3;2;3;2;3;2;3;2;2;FALSE;FALSE;FALSE;FALSE
01;97008;3510;9;700;02Q1;2;1;1;1;1;1;1;2;1;1;2;1;2;3;2;3;1;3;1;3;1;2;FALSE;FALSE;FALSE;FALSE
01;97008;3510;9;700;02Q2;2;2;2;3;2;3;2;1;1;2;2;2;2;3;2;3;2;3;2;3;2;2;FALSE;FALSE;FALSE;FALSE
01;97008;3510;9;700;02Q3;2;3;2;3;2;3;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97008;3510;9;700;02Q4;2;3;2;3;2;3;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97008;3510;9;700;03Q2;2;3;2;3;2;3;2;2;2;3;1;3;1;1;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97008;3510;9;700;03Q4;2;3;3;3;3;3;3;2;2;3;2;3;2;2;2;3;3;3;3;3;3;2;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;01Q2;1;1;1;1;1;;;2;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;01Q3;;;;;;;;;1;1;;1;;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;02Q1;;;;;;;;;1;2;1;1;1;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;02Q3;1;1;1;1;1;;;2;1;1;1;1;1;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;02Q4;;;;;;;;;1;;;2;2;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;03Q1;;;;;;;;;2;3;3;;3;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;03Q4;;;;;;;;;1;2;2;2;2;;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;04Q1;;;;;;;;;2;;2;3;3;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;04Q2;;;;;;;;;2;3;2;3;2;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;04Q3;;;;;;;;;1;3;;2;1;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;06Q1;;;;;;;;;2;3;1;3;1;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;06Q2;;;;;;;;;2;3;3;3;3;2;2;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;06Q3;;;;;;;;;2;3;3;;3;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;06Q4;;;;;;;;;2;3;2;3;2;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;07Q2;;;;;;;;;2;3;3;3;3;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;07Q3;;;;;;;;;2;3;3;3;3;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;07Q4;;;;;;;;;2;3;;3;2;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;08Q1;2;3;3;;;;;;2;3;3;3;3;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;08Q4;;;;;;;;;2;3;2;3;2;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;09Q2;;;;;;;;;2;3;3;3;3;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;09Q3;;;;;;;;;;3;3;3;3;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;10Q2;;;;;;;;;2;2;2;2;2;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;10Q3;;;;;;;;;2;3;3;3;3;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;10Q4;;;;;;;;;2;3;2;3;;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;11Q1;;;;;;;;;2;3;2;3;2;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;11Q2;;;;;;;;;2;3;2;3;2;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;12Q3;;;;;;;;;2;3;2;3;2;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;12Q4;;;;;;;;;2;3;2;3;2;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97064;3510;5;30;01Q2;2;3;2;3;2;3;2;1;2;3;2;3;2;1;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97064;3510;5;30;01Q3;2;3;3;3;3;3;3;1;2;3;3;3;3;3;2;3;3;3;3;3;3;3;FALSE;FALSE;FALSE;FALSE
01;97064;3510;5;30;02Q1;2;2;;2;;3;;1;1;1;;2;;;;2;;2;;2;;;FALSE;FALSE;FALSE;FALSE
01;97064;3510;5;30;02Q3;2;2;2;1;2;2;2;3;1;2;2;2;2;2;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97064;3510;5;30;03Q3;1;2;2;2;2;2;2;2;2;3;2;3;2;1;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97064;3510;5;30;03Q4;2;2;2;2;1;3;2;2;1;3;2;3;3;;2;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97064;3510;5;30;04Q2;1;1;;2;;2;;2;1;2;;2;;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97064;3510;5;30;04Q4;1;1;2;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97064;3510;5;30;05Q3;2;3;2;3;2;3;2;2;2;3;3;3;3;3;2;3;2;3;2;3;2;3;FALSE;FALSE;FALSE;FALSE
01;97064;3510;5;30;06Q1;1;3;1;3;1;3;1;2;2;3;1;3;1;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97064;3510;5;30;06Q2;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97064;3510;5;30;06Q3;2;3;2;3;2;3;2;2;2;3;2;3;2;1;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97098;3510;8;300;02Q3;2;3;2;3;2;3;2;1;1;1;2;1;2;3;1;1;2;1;2;1;2;2;FALSE;FALSE;FALSE;FALSE
01;97098;3510;8;300;02Q4;2;3;;3;;3;;2;1;1;;1;;3;1;2;1;3;2;3;2;3;FALSE;FALSE;FALSE;FALSE
01;97098;3510;8;300;03Q2;2;3;1;3;1;3;1;1;2;3;1;3;1;2;2;3;1;3;1;3;1;2;FALSE;FALSE;FALSE;FALSE
01;97098;3510;8;300;03Q3;2;3;2;3;2;3;2;1;2;3;2;3;2;2;1;1;2;1;2;1;2;2;FALSE;FALSE;FALSE;FALSE
01;97098;3510;8;300;04Q3;1;1;1;1;1;1;1;2;2;3;2;3;2;1;1;2;1;2;1;2;1;2;FALSE;FALSE;FALSE;FALSE
01;97098;3510;8;300;05Q3;1;1;1;1;1;1;1;3;1;1;2;1;2;2;1;1;2;1;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;01Q2;2;3;1;3;2;3;2;2;2;3;2;3;2;3;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;01Q3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;3;3;2;3;2;3;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;01Q4;1;3;2;3;1;3;1;3;1;2;2;2;2;3;1;2;1;2;1;2;1;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;02Q1;1;1;1;1;1;1;2;2;1;1;2;1;1;3;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;02Q4;1;1;1;2;1;2;2;2;1;2;1;2;1;2;1;1;1;1;1;2;1;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;03Q2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;3;2;3;2;3;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;03Q4;1;2;1;2;1;2;1;3;1;2;1;2;1;2;1;3;1;3;1;3;1;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;04Q1;1;1;2;1;2;1;2;2;1;1;;1;;2;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;04Q2;1;2;2;1;1;1;1;2;1;1;1;1;1;2;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;04Q4;1;2;2;1;2;1;2;2;2;3;3;3;3;1;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;05Q1;1;;;2;2;2;2;2;1;2;2;2;2;2;1;;;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;05Q2;1;3;2;3;2;2;2;3;2;3;3;3;3;1;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;06Q1;1;1;1;1;1;1;1;3;2;2;3;3;3;3;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;06Q2;1;2;2;1;2;1;2;3;2;2;3;2;2;1;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;06Q3;2;2;2;2;2;2;2;2;2;3;2;3;2;2;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;06Q4;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;07Q1;1;2;2;2;2;2;2;2;2;3;3;3;3;1;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;07Q2;2;3;1;3;1;3;1;2;1;2;2;2;2;3;2;;;3;1;3;1;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;07Q3;2;3;2;2;2;1;1;3;2;3;3;3;3;1;1;2;2;2;2;1;1;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;07Q4;2;3;;3;2;3;2;3;2;3;2;3;3;1;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;08Q1;2;3;3;3;3;1;1;3;2;3;3;3;3;1;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;08Q2;1;2;2;2;2;2;2;;2;3;3;3;3;1;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;08Q4;2;3;2;3;2;3;2;1;2;3;2;3;2;1;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;09Q1;2;3;3;3;3;3;3;2;2;3;3;3;3;2;2;3;3;3;3;3;3;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;09Q2;2;3;3;3;3;3;3;2;2;3;3;3;3;2;2;3;3;3;3;3;3;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;09Q3;2;3;3;3;3;3;3;2;2;3;3;3;3;2;2;3;3;3;3;3;3;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;09Q4;2;3;3;3;3;3;3;2;2;3;2;3;2;2;2;3;2;3;2;3;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;10Q1;2;3;3;3;3;3;3;3;1;3;2;3;2;3;2;3;2;3;2;3;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;10Q2;2;3;3;3;3;3;3;2;1;1;1;1;1;3;2;3;3;3;3;3;3;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;10Q3;2;3;2;3;2;3;2;2;1;1;1;1;1;3;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;11Q2;2;3;2;3;2;3;1;3;1;2;2;2;2;3;2;3;2;3;2;3;;3;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;11Q4;1;1;1;2;1;2;1;3;1;2;1;2;1;3;2;3;1;3;1;3;1;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;12Q1;1;1;1;1;1;1;1;3;1;1;1;1;1;3;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;12Q2;1;1;2;1;2;1;2;;1;1;2;1;2;3;1;1;2;1;2;1;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;12Q3;1;1;;1;2;1;2;3;1;1;2;1;2;3;1;1;2;1;2;1;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;12Q4;1;1;2;1;2;1;2;;1;1;1;1;2;3;1;1;2;1;2;1;2;2;FALSE;FALSE;FALSE;FALSE
01;97232;3510;8;300;01Q3;;3;3;1;3;3;3;3;;3;2;3;2;2;;3;2;2;2;3;2;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;01Q3;2;3;2;3;2;3;2;1;1;1;2;1;2;2;1;1;3;1;3;1;3;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;02Q1;2;3;2;3;2;3;2;2;1;1;1;1;1;3;1;1;2;1;2;1;2;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;02Q2;2;3;1;3;1;3;1;2;1;1;2;1;2;3;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;02Q3;;2;1;2;1;2;1;2;1;1;1;1;1;2;1;1;2;1;2;1;2;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;02Q4;2;3;2;3;2;3;2;2;1;1;2;1;2;3;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;03Q1;2;3;2;3;2;3;2;2;1;2;2;2;2;3;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;03Q4;2;3;2;3;2;3;2;2;1;2;1;2;1;1;1;1;2;1;2;1;2;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;04Q3;1;1;;1;1;1;1;3;2;2;2;2;2;2;1;1;1;2;1;2;1;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;04Q4;1;1;2;1;2;1;2;3;2;2;2;2;2;2;1;1;2;1;2;1;2;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;05Q1;1;;2;1;2;1;2;2;2;2;2;2;2;1;1;1;2;1;2;1;2;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;05Q2;1;1;2;1;2;1;2;2;2;2;1;2;1;2;1;;;1;2;1;2;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;05Q3;1;1;2;1;2;1;2;3;2;2;1;2;1;2;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;06Q2;1;;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;06Q3;1;1;;1;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;06Q4;1;1;3;1;3;1;3;1;2;2;2;2;2;2;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;07Q1;1;3;2;3;2;3;2;1;2;2;2;2;2;3;1;1;;1;1;2;1;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;07Q2;;2;;2;3;3;3;2;2;2;2;2;2;2;1;1;;1;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;07Q3;1;3;3;3;3;3;3;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;07Q4;1;3;3;3;3;3;3;2;1;2;2;2;2;2;1;2;1;2;1;2;1;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;08Q1;1;3;3;3;3;3;3;2;2;2;2;2;2;2;1;2;1;2;1;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;08Q2;2;3;2;3;2;3;2;2;2;3;2;3;2;2;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;08Q3;2;3;2;3;2;3;2;1;2;2;2;2;2;1;1;1;2;1;2;1;2;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;08Q4;2;3;3;3;3;3;3;1;2;2;2;2;2;2;1;2;1;2;1;2;1;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;09Q1;2;3;;3;3;3;3;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;09Q2;2;3;2;3;2;3;2;2;2;2;1;2;1;3;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;09Q3;2;3;2;3;2;3;2;2;2;1;2;1;2;2;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;09Q4;2;3;2;3;2;3;2;2;2;1;1;1;1;2;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;11Q3;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;11Q4;2;1;1;1;2;1;2;1;2;2;1;2;1;1;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;12Q1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;12Q2;2;3;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;12Q3;2;2;3;2;3;1;3;2;2;2;2;2;2;2;2;3;2;3;2;3;2;2;FALSE;FALSE;FALSE;FALSE
01;97261;3510;7;150;01Q2;1;1;2;1;2;1;2;2;1;1;2;1;2;1;2;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97261;3510;7;150;01Q4;1;1;2;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;97261;3510;7;150;02Q1;1;1;1;1;1;1;3;2;1;1;3;1;3;2;1;1;;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;97261;3510;7;150;02Q3;1;3;3;3;3;3;3;1;2;2;1;2;2;1;1;1;1;1;2;1;2;2;FALSE;FALSE;FALSE;FALSE
01;97261;3510;7;150;03Q2;2;1;;3;;3;;1;2;1;;1;;1;1;1;;1;;1;;2;FALSE;FALSE;FALSE;FALSE
01;97261;3510;7;150;03Q3;1;3;;3;;2;;1;1;2;;2;;1;2;3;;2;;2;;2;FALSE;FALSE;FALSE;FALSE
01;97261;3510;7;150;04Q3;1;1;;1;1;1;1;2;1;1;1;1;1;2;1;2;1;2;1;2;1;2;FALSE;FALSE;FALSE;FALSE
01;97261;3510;7;150;04Q4;1;1;2;1;2;1;1;2;;1;;1;;2;1;1;;1;;1;;2;FALSE;FALSE;FALSE;FALSE
01;97261;3510;7;150;06Q2;;3;2;3;2;3;2;2;2;3;1;3;1;2;1;1;2;1;2;1;2;2;FALSE;FALSE;FALSE;FALSE
01;97261;3510;7;150;06Q3;2;3;3;3;3;3;3;2;1;2;2;2;2;2;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;97264;3510;8;300;01Q2;2;3;1;3;1;3;1;2;2;2;1;2;1;2;2;3;1;3;1;3;1;2;FALSE;FALSE;FALSE;FALSE
01;97264;3510;8;300;01Q3;2;2;;2;;3;;2;2;2;;2;;2;1;1;;1;;1;;2;FALSE;FALSE;FALSE;FALSE
01;97264;3510;8;300;02Q2;1;1;;1;;2;;2;1;2;;2;;2;1;1;;1;;2;;2;FALSE;FALSE;FALSE;FALSE
01;97264;3510;8;300;02Q3;1;2;;2;;2;;2;1;2;;2;;2;1;1;;1;;1;;2;FALSE;FALSE;FALSE;FALSE
01;97264;3510;8;300;02Q4;1;1;;1;;2;;2;1;2;;2;;2;1;1;;1;;1;;2;FALSE;FALSE;FALSE;FALSE
01;97264;3510;8;300;03Q1;1;1;1;1;1;2;1;2;1;1;1;1;1;3;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;97264;3510;8;300;03Q2;1;1;;1;;1;;2;2;2;;2;;2;1;1;;1;;1;;2;FALSE;FALSE;FALSE;FALSE
01;97264;3510;8;300;03Q3;2;2;;2;;3;;2;2;2;;2;;1;1;1;;1;;1;;2;FALSE;FALSE;FALSE;FALSE
01;97264;3510;8;300;03Q4;1;2;;2;;2;;2;2;2;;3;;2;1;1;;1;;1;;2;FALSE;FALSE;FALSE;FALSE
01;97264;3510;8;300;04Q1;1;1;;1;;1;;3;1;2;;2;;3;1;2;;2;;2;;2;FALSE;FALSE;FALSE;FALSE
01;97264;3510;8;300;04Q2;1;1;;1;;1;;2;1;2;;2;;2;1;1;;1;;1;;2;FALSE;FALSE;FALSE;FALSE
01;97264;3510;8;300;04Q3;1;1;;1;;1;;3;1;2;;2;;2;1;1;;1;;1;;2;FALSE;FALSE;FALSE;FALSE
01;97264;3510;8;300;04Q4;1;1;;1;;1;;3;1;1;;1;;1;1;1;;1;;1;;2;FALSE;FALSE;FALSE;FALSE
01;97264;3510;8;300;05Q1;1;2;;2;;2;;2;1;2;;2;;2;1;1;;1;;1;;2;FALSE;FALSE;FALSE;FALSE
01;97264;3510;8;300;05Q2;1;1;;1;;1;;2;1;2;;2;;1;1;;1;;1;;1;2;FALSE;FALSE;FALSE;FALSE
01;97264;3510;8;300;05Q3;1;1;;1;;1;;3;1;1;;1;;2;1;1;;1;;1;;2;FALSE;FALSE;FALSE;FALSE
01;97264;3510;8;300;06Q1;1;2;2;2;2;2;2;2;1;2;;2;;2;1;1;1;1;1;1;2;2;FALSE;FALSE;FALSE;FALSE
01;97264;3510;8;300;06Q2;1;1;2;1;2;2;2;3;1;2;2;2;1;2;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97264;3510;8;300;06Q3;1;1;1;2;1;2;1;3;1;1;1;2;1;2;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
