Streek;Idnr;Sektor;Gewig;Faktor;OpnameQ;Q1;Q2A;Q2P;Q3A;Q3P;Q4A;Q4P;Q5A;Q5P;Q6A;Q6P;Q7A;Q7P;Q8;Q9;Latecomer;NewRecruit;WrongClassif;Duplicate
01;13459;2110;3;1.498000026;15Q3;2;3;3;3;3;3;3;3;3;2;2;3;3;3;2;FALSE;FALSE;FALSE;FALSE
06;13460;2210;4;1.875;15Q3;2;3;3;3;3;3;3;3;3;3;3;1;1;3;2;FALSE;FALSE;FALSE;FALSE
06;13467;2110;3;1.498000026;15Q3;2;2;3;2;3;2;3;3;2;2;2;3;3;2;2;FALSE;FALSE;FALSE;FALSE
01;13671;2110;3;1.498000026;15Q3;1;1;1;1;1;1;1;1;2;2;1;2;1;1;3;FALSE;FALSE;FALSE;FALSE
06;13673;2110;1;0.214000002;15Q3;1;2;2;2;2;2;2;3;2;1;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
05;13753;2130;7;21.45000076;15Q3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
06;13756;2130;3;1.001000047;15Q3;2;3;2;3;2;3;1;3;2;1;2;1;2;2;2;FALSE;FALSE;FALSE;FALSE
06;13806;2220;7;18.75;15Q3;2;3;3;3;3;3;3;2;2;3;3;2;2;3;2;FALSE;FALSE;FALSE;FALSE
01;13817;2240;5;3.75;15Q3;1;2;2;1;2;2;2;1;2;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
06;13823;2240;7;18.75;15Q3;2;2;3;3;3;3;3;3;3;1;1;1;1;2;2;FALSE;FALSE;FALSE;FALSE
02;13847;2120;3;1.001000047;15Q3;2;;;3;2;3;2;2;2;2;2;2;2;3;2;FALSE;FALSE;FALSE;FALSE
03;13850;2120;4;2.144999981;15Q3;2;3;3;3;3;3;3;2;2;1;1;1;1;3;1;FALSE;FALSE;FALSE;FALSE
06;13851;2220;9;87.5;15Q2;2;3;2;1;1;1;1;2;2;2;2;3;2;3;1;TRUE;FALSE;FALSE;FALSE
06;13949;2130;5;4.289999962;15Q3;1;3;3;2;3;2;3;2;2;1;1;2;2;2;2;FALSE;FALSE;FALSE;FALSE
03;13975;2220;8;37.5;15Q3;1;3;3;2;3;2;3;2;2;1;1;1;1;2;1;FALSE;FALSE;FALSE;FALSE
05;13984;2220;9;87.5;15Q3;2;2;2;2;2;2;2;3;3;1;1;1;1;1;1;FALSE;FALSE;FALSE;FALSE
02;14007;2210;9;87.5;15Q3;1;3;2;2;2;2;2;1;2;1;1;1;1;1;1;FALSE;FALSE;FALSE;FALSE
06;14022;2120;6;10.01000023;15Q3;1;2;2;1;1;1;1;2;2;1;2;1;1;1;2;FALSE;FALSE;FALSE;FALSE
02;14241;2220;9;87.5;15Q3;1;2;2;1;1;2;1;2;2;1;1;1;1;2;2;FALSE;FALSE;FALSE;FALSE
05;14262;2210;8;37.5;15Q3;2;2;;2;3;2;3;2;2;3;1;3;3;3;1;FALSE;FALSE;FALSE;FALSE
01;14264;2220;3;0.875;15Q3;2;3;1;3;2;3;2;2;2;1;1;1;1;3;2;FALSE;FALSE;FALSE;FALSE
06;14273;2230;3;0.875;15Q3;1;3;1;1;1;2;2;2;2;1;1;1;1;3;2;FALSE;FALSE;FALSE;FALSE
06;14295;2110;5;6.420000076;15Q2;1;3;2;3;3;3;3;1;2;1;1;3;3;3;2;TRUE;FALSE;FALSE;FALSE
06;14637;2110;7;32.09999847;15Q2;1;2;3;2;3;2;3;2;2;2;1;2;1;2;1;TRUE;FALSE;FALSE;FALSE
06;14642;2220;5;3.75;15Q3;1;2;2;1;2;1;2;2;2;1;2;1;2;1;2;FALSE;FALSE;FALSE;FALSE
06;14648;2110;5;6.420000076;15Q2;;3;1;3;1;2;2;2;2;1;2;2;1;3;2;TRUE;FALSE;FALSE;FALSE
05;14650;2130;7;21.45000076;15Q2;1;2;3;1;3;1;3;3;3;3;3;3;3;1;2;TRUE;FALSE;FALSE;FALSE
05;14653;2130;7;21.45000076;15Q3;2;3;3;2;2;2;2;2;2;1;1;2;2;3;2;FALSE;FALSE;FALSE;FALSE
01;14654;2110;7;32.09999847;15Q3;2;3;3;2;3;3;3;2;3;1;1;2;2;3;1;FALSE;FALSE;FALSE;FALSE
06;14655;2220;7;18.75;15Q2;2;3;3;3;3;2;2;3;2;2;1;1;1;3;2;TRUE;FALSE;FALSE;FALSE
