Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
4,50717,2210,1,0.628837107,14Q4,2,2,,3,2,3,2,3,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13048,2110,1,2.004418277,14Q4,2,3,3,2,3,2,3,2,3,2,3,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13148,2230,2,3.690919579,14Q4,2,3,3,3,3,3,3,3,3,1,1,3,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14638,2110,1,2.004418277,14Q4,2,3,,3,,3,,2,,1,,1,,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,13847,2120,1,0.903953341,14Q4,2,2,3,2,3,2,3,2,2,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13060,2230,1,1.41488349,14Q4,1,1,3,1,2,1,3,2,2,1,2,2,3,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,50157,2120,3,3.441681664,14Q4,1,1,,1,,1,,1,,1,,1,,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,14657,2130,1,0.825348702,14Q4,2,1,3,1,3,1,3,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37210,2120,2,2.358087509,14Q4,2,3,3,2,3,1,3,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13827,2130,1,0.825348702,14Q4,1,,,1,1,2,2,2,2,1,1,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13671,2110,1,2.004418277,14Q4,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13459,2110,1,2.004418277,14Q4,2,2,3,2,2,1,2,2,1,2,2,3,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13319,2220,1,2.083022916,14Q4,1,2,3,2,2,2,2,2,2,1,1,2,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,96732,2110,2,5.228802736,14Q4,2,2,2,1,3,2,2,2,3,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13414,2120,2,2.358087509,14Q4,1,3,2,3,2,3,2,2,2,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
