Date,Total_Q1,Total_Q2A,Total_Q3A,Total_Q4A,Total_Q5A,Total_Q6A,Total_Q7,Total_Q8,Total_Q9,Total_Q10,Total_N,Accom_Q1,Accom_Q2A,Accom_Q3A,Accom_Q4A,Accom_Q5A,Accom_Q6A,Accom_Q7,Accom_Q8,Accom_Q9,Accom_Q10,Accom_N,Trans_Q1,Trans_Q2A,Trans_Q3A,Trans_Q4A,Trans_Q5A,Trans_Q6A,Trans_Q7,Trans_Q8,Trans_Q9,Trans_Q10,Trans_N,RE_Q1,RE_Q2A,RE_Q3A,RE_Q4A,RE_Q5A,RE_Q6A,RE_Q7,RE_Q8,RE_Q9,RE_Q10,RE_N,BS_Q1,BS_Q2A,BS_Q3A,BS_Q4A,BS_Q5A,BS_Q6A,BS_Q7,BS_Q8,BS_Q9,BS_Q10,BS_N,PS_Q1,PS_Q2A,PS_Q3A,PS_Q4A,PS_Q5A,PS_Q6A,PS_Q7,PS_Q8,PS_Q9,PS_Q10,PS_N,GP_Q1,GP_Q2A,GP_Q3A,GP_Q4A,GP_Q5A,GP_Q6A,GP_Q7,GP_Q8,GP_Q9,GP_Q10,GP_N,WC_Q1,WC_Q2A,WC_Q3A,WC_Q4A,WC_Q5A,WC_Q6A,WC_Q7,WC_Q8,WC_Q9,WC_Q10,WC_N,KZN_Q1,KZN_Q2A,KZN_Q3A,KZN_Q4A,KZN_Q5A,KZN_Q6A,KZN_Q7,KZN_Q8,KZN_Q9,KZN_Q10,KZN_N,,
2010/06/30,,,,,,,,,,,,40,5,-40,-9,-62,30,75,17,14,46,36,64,31,8,-6,-21,8,75,27,26,49,37,32,7,-29,-17,-41,-24,78,11,10,66,41,52,10,-27,-16,-47,-7,56,30,10,40,150,,,,,,,,,,,,48,13,-18,-14,-37,-7,68,26,12,47,150,49,5,-30,-22,-41,7,67,13,13,43,64,55,2,-19,-13,-42,10,71,26,25,52,42,,
2010/09/30,,,,,,,,,,,,33,25,-34,-34,-41,6,80,15,18,57,36,51,27,0,-17,-24,-6,75,24,27,49,41,32,9,-29,-22,-43,-25,77,12,12,65,54,50,8,-19,-9,-31,-7,58,26,8,37,144,,,,,,,,,,,,45,9,-19,-13,-36,-11,68,24,10,44,141,45,17,-16,-20,-28,-5,70,16,17,44,73,44,10,-17,-30,-35,-4,64,21,25,60,48,,
2010/12/31,,,,,,,,,,,,43,16,-41,-38,-57,0,80,14,17,55,37,73,22,32,-8,2,0,66,32,26,47,37,40,16,-23,-11,-29,-38,71,12,8,67,45,49,8,-26,-23,-43,-13,59,24,11,40,139,,,,,,,,,,,,53,7,-14,-10,-32,-12,65,24,13,49,150,43,19,-30,-40,-46,-14,73,14,12,42,65,48,7,-22,-22,-45,-13,70,15,20,56,40,,
2011/03/31,,,,,,,,,,,,29,-6,-39,-36,-53,5,78,9,14,55,36,61,45,11,-12,2,0,66,25,19,53,44,53,25,-2,-17,-29,-23,66,15,11,64,49,56,17,-3,-12,-17,0,55,28,8,32,151,,,,,,,,,,,,55,22,-3,-10,-18,5,59,26,9,44,148,41,9,-18,-19,-35,-14,74,21,15,40,75,62,21,-8,-15,-17,-7,65,18,16,43,48,,
2011/06/30,,,,,,,,,,,,25,-7,-56,-28,-59,-13,90,10,6,51,30,48,25,-15,-19,-25,13,71,22,18,50,33,41,-2,-18,-9,-24,-18,73,9,11,58,46,57,5,-1,-3,-18,6,57,28,7,34,146,,,,,,,,,,,,54,2,-10,-8,-23,2,62,24,10,44,146,37,1,-22,-5,-35,-10,75,16,7,44,60,50,8,-10,-13,-21,16,68,24,20,46,39,,
2011/09/30,,,,,,,,,,,,24,-9,-40,-52,-67,-36,87,10,12,52,34,54,11,-27,-36,-27,-3,72,17,14,38,37,25,-20,-31,-18,-64,-42,75,7,11,62,40,50,-15,-14,-10,-34,-7,58,27,10,43,138,,,,,,,,,,,,42,-20,-27,-20,-43,-15,67,24,11,52,141,35,-11,-17,-25,-46,-18,73,12,14,44,66,56,-3,-28,-30,-28,-11,63,20,19,35,36,,
2011/12/31,,,,,,,,,,,,38,0,-10,-33,-52,-3,80,14,15,49,40,44,-5,-10,-9,-19,7,70,21,14,45,44,22,-4,-29,-7,-49,-32,73,13,10,65,41,56,1,-14,-12,-32,-4,58,25,6,35,133,,,,,,,,,,,,47,-7,-19,-12,-38,-4,66,25,10,43,148,35,5,-14,5,-33,-11,74,16,13,49,66,50,-14,-43,-20,-39,12,68,12,16,40,36,,
2012/03/31,,,,,,,,,,,,50,-7,10,-23,-32,-6,78,15,18,65,31,67,29,23,0,0,9,68,26,33,50,36,38,0,-17,-15,-38,-38,73,17,11,65,48,59,5,-4,-5,-27,-4,56,26,9,37,139,,,,,,,,,,,,56,7,-2,-5,-31,-9,62,25,14,47,141,55,-3,6,-14,-12,-8,70,20,17,52,65,58,16,-13,-15,-21,-2,60,22,17,39,39,,
2012/06/30,,,,,,,,,,,,30,26,-4,-18,-35,9,87,13,9,54,23,50,-3,-20,-20,-29,20,70,11,16,50,35,37,-15,-11,-4,-48,-40,64,10,16,63,27,55,1,-3,-18,-42,0,59,30,9,43,112,,,,,,,,,,,,50,-5,-8,-10,-40,-3,65,23,13,50,120,38,3,-6,-31,-41,3,67,15,11,50,32,51,5,-7,-20,-34,8,67,21,16,41,39,,
2012/09/30,,,,,,,,,,,,41,10,13,-21,-33,17,77,14,23,65,24,53,-20,-21,-21,-32,18,73,21,19,50,38,40,-8,-5,-17,-25,-35,58,11,12,62,40,51,-13,-25,-12,-40,-5,57,26,9,39,116,,,,,,,,,,,,43,-20,-26,-16,-38,-6,62,24,15,50,119,48,4,5,-10,-14,-2,64,19,14,47,58,60,-18,-27,-11,-41,0,63,18,15,36,36,,
2012/12/31,,,,,,,,,,,,38,-8,-16,-8,-24,20,78,16,10,58,25,40,-35,-31,-19,-39,23,67,21,25,39,26,38,-9,-8,-8,-34,-29,66,17,11,60,38,52,-30,-16,-8,-32,2,55,28,6,34,118,,,,,,,,,,,,48,-26,-17,-7,-29,2,63,28,11,42,112,45,-13,-14,-14,-31,3,66,23,11,45,59,50,-33,-28,-6,-40,0,56,20,15,41,33,,
