"";"Date";"w.Conf_cc.M";"w.Conf_fl.M";"w.Act_prod.M";"w.Conf_prod.M";"w.Act_GBC.M";"w.Conf_GBC.M";"w.Invest.M";"w.Empl.M";"w.Uncert_fl.M";"w.Uncert_fl.prod.M";"w.Uncert_fl.GBC.M";"w.Uncert_ee.M";"w.Uncert_ee.prod.M";"w.Uncert_ee.GBC.M"
"54";"2005Q2";0,227991102786233;0,171155091910362;0,105013151895627;0,11849191847614;-0,0240616223806438;-0,0213628002655724;0,0705048944196891;-0,0701674211550662;0,642681574696541;0,809956479680458;0,762909975702266;0,993355891362372;1,04281326941335;0,927810861595944
"55";"2005Q3";0,361643330876934;0,025127388573771;0,361357164027164;0,296948329311812;0,122132774458992;0,184103651435563;0,257226000362832;-0,170468482614154;0,694971504136361;0,76312870144875;0,732028455451269;1,01393201702844;NA;NA
"56";"2005Q4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"57";"2006Q1";0,430980595817006;0,14053356045828;0,139993144417138;0,20445696143246;0,192028625833642;0,152064989357304;0,178226838633455;-0,133159579139872;0,689225387159629;0,693834081387499;0,69658094517976;0,801233332307535;0,990625208798701;0,72015641870935
"58";"2006Q2";0,37626043637089;0,0917171049915363;0,274832900181576;0,337153803445938;0,0606565999397615;0,153514172526915;0,136003169076612;-0,175699561039198;0,608239677231474;0,708722804100659;0,623454391690243;0,882628528153847;0,918922102301526;0,788654991202035
"59";"2006Q3";0,332475614115369;0,106432151424823;0,183639212484173;0,280490431910387;0,110559363242316;0,114461464736599;0,306229511836988;0,022243143991323;0,668874601625111;0,732324800090447;0,677024403405335;0,916884128187202;0,771661223175762;0,659617967047101
"60";"2006Q4";0,511698443421062;0,162102030258967;0,491423792117677;0,432249215267337;0,315508634359032;0,242534757576319;0,350214789018773;0,279834732343039;0,67091541155028;0,701539749435273;0,68848770415749;0,959573481211006;1,12733700125524;0,80454564611229
"61";"2007Q1";0,524276211648083;0,207268147985547;0,277252506045027;0,456652142840676;0,359021835080578;0,345799374942139;0,310080345230646;0,241326711238088;0,70155993172416;0,664767964249907;0,678820768293445;1,06538529178692;0,933035071435673;0,644920867604143
"62";"2007Q2";0,568480811643897;0,255821996019706;0,388950367817325;0,442615091344935;0,265410249773521;0,321666856612559;0,311733096768163;0,0613821664294034;0,632056873484283;0,645104172621345;0,670051135782625;1,04668388558557;0,670738395658292;0,692178025048949
"63";"2007Q3";0,206291348057551;0,0949518033854936;0,224240727644193;0,194556547475054;0,020136713651788;0,00686369184136053;0,266735730929186;0,0948059344895285;0,755534390080799;0,794310589568122;0,784148399457279;1,08667512215467;0,610059921370292;0,702368991371264
"64";"2007Q4";0,409264149766361;0,0190815397265603;0,313345802945463;0,110762867414082;0,143641930963342;-0,178138615678952;0,293380876669723;0,162735467687302;0,705816576028965;0,811256628704418;0,744261700137571;1,03023248428011;0,949079015831893;0,988304693780705
"65";"2008Q1";-0,0809128709632014;-0,118560699254206;-0,235819098191995;-0,00348185029668859;-0,422253860314974;-0,404441444323001;0,116909936309265;-0,0606163310228209;0,796531589214578;0,845347418160117;0,691587829310415;0,918559315095302;1,31106765352106;0,893753468967388
"66";"2008Q2";-0,292015758029029;-0,44133510673717;-0,156487274549462;0,0504527319466655;-0,442133859467825;-0,50356827261334;-0,13198317173555;-0,235337605559495;0,687055988538721;0,792437512785121;0,666089524954475;0,930089808690508;0,977067038693954;0,67024171821155
"67";"2008Q3";-0,409452836615665;-0,137339848260619;-0,175460308351997;-0,187754158297085;-0,49719386864997;-0,380953668381651;0,111010752036746;-0,287456420325707;0,747457479797855;0,699573696336173;0,771969476077471;1,21277200875571;0,94444968523167;0,827627210663627
"68";"2008Q4";-0,405360715692015;-0,304591033456883;-0,377889006781381;-0,500349164122253;-0,573565495225545;-0,572660421955703;0,124366014106324;-0,365320932362402;0,807563521544689;0,721065521834704;0,702497089549513;1,09416822647519;0,847381175713546;0,757016509754752
"69";"2009Q1";-0,671444897535129;-0,313210601319743;-0,622245017851052;-0,59604437164862;-0,702224153243584;-0,607025814761108;-0,23946533069618;-0,430442866044889;0,796415729158944;0,627469838718287;0,686566601771075;0,949164843740823;0,767451666962401;0,710055943875452
"70";"2009Q2";-0,764566577988282;-0,0739895866769887;-0,640789201698342;-0,557395210688862;-0,728898751877241;-0,567805121273418;-0,201930953004469;-0,625571243314675;0,829417379904787;0,665373264759337;0,677531399330755;1,4110173669219;0,826846361537281;0,834619782707029
"71";"2009Q3";-0,472310587012165;0,195837364178058;-0,45401002700445;-0,265876838619802;-0,547509069319011;-0,345312382736605;-0,201851139505842;-0,472645115002001;0,723585186481164;0,818774865688868;0,782918280091695;1,08634595963086;0,968332083746692;0,983017211000451
