"";"Datum";"factor";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"4182";2002-03-31;1;-1;-1;-1;-1;NA
"4270";2002-06-30;1;2;2;1;0;NA
"4377";2002-09-30;1;NA;0;0;1;NA
"4474";2002-12-31;1;0;0;0;0;NA
"4566";2003-03-31;1;0;0;-1;-1;NA
"4684";2003-06-30;1;0;0;0;-1;NA
"4773";2003-09-30;1;0;0;0;0;NA
"5282";2004-12-31;1;NA;0;0;0;NA
"6083";2006-12-31;1;NA;0;0;0;NA
"61162";2007-03-31;1;0;0;0;0;NA
"62108";2007-06-30;1;0;0;1;0;NA
"63103";2007-09-30;1;1;1;1;1;NA
"68129";2008-12-31;1;-1;-1;0;0;NA
"75128";2010-09-30;1;1;1;1;1;NA
"76129";2010-12-31;1;0;0;0;-1;NA
"77132";2011-03-31;1;0;0;0;0;NA
"81106";2012-03-31;1;0;0;0;-1;NA
"9374";2015-03-31;1;-1;-1;-1;-1;NA
"4058";2001-12-31;1;-1;0;0;0;NA
"4475";2002-12-31;1;NA;-2;0;0;NA
"4871";2003-12-31;1;1;1;1;0;NA
"4971";2004-03-31;1;1;1;1;-1;NA
"5379";2005-03-31;1;1;1;1;0;NA
"73152";2010-03-31;1;0;0;-1;0;NA
"6497";1993-06-30;1;-1;-1;NA;NA;NA
"10140";1994-06-30;1;0;NA;NA;NA;NA
"16105";1995-12-31;1;0;NA;NA;NA;NA
"17109";1996-03-31;1;0;NA;NA;NA;NA
"18120";1996-06-30;1;0;NA;NA;NA;NA
"21110";1997-03-31;1;-1;NA;NA;NA;NA
"22102";1997-06-30;1;0;NA;NA;NA;NA
"24114";1997-12-31;1;0;NA;NA;NA;NA
"2895";1998-12-31;1;0;0;NA;NA;NA
"2993";1999-03-31;1;0;0;NA;NA;NA
"13143";1995-03-31;1;0;1;NA;NA;NA
"16106";1995-12-31;1;-1;-1;NA;NA;NA
"4183";2002-03-31;1;NA;1;1;2;NA
"16107";1995-12-31;1;0;0;NA;NA;NA
"24115";1997-12-31;1;0;-1;NA;NA;NA
"9273";1994-03-31;1;0;0;NA;NA;NA
"12121";1994-12-31;1;1;-1;NA;NA;NA
"13144";1995-03-31;1;-1;0;NA;NA;NA
"16108";1995-12-31;1;0;0;NA;NA;NA
"17110";1996-03-31;1;-1;0;NA;NA;NA
"18121";1996-06-30;1;0;0;NA;NA;NA
"19116";1996-09-30;1;0;0;NA;NA;NA
"20117";1996-12-31;1;0;0;NA;NA;NA
"21111";1997-03-31;1;0;2;NA;NA;NA
"22103";1997-06-30;1;0;0;NA;NA;NA
"23116";1997-09-30;1;0;0;NA;NA;NA
"24116";1997-12-31;1;1;0;NA;NA;NA
"19117";1996-09-30;1;0;0;NA;NA;NA
"6498";1993-06-30;1;1;2;NA;NA;NA
"9274";1994-03-31;1;0;0;NA;NA;NA
"10141";1994-06-30;1;-1;-1;NA;NA;NA
"11124";1994-09-30;1;0;0;NA;NA;NA
"14110";1995-06-30;1;-1;-1;NA;NA;NA
"21112";1997-03-31;1;-1;0;NA;NA;NA
"25110";1998-03-31;1;0;-1;NA;NA;NA
"3552";2000-09-30;1;-2;0;NA;NA;NA
"3651";2000-12-31;1;0;-2;NA;NA;NA
"3759";2001-03-31;1;0;-1;NA;NA;NA
"4059";2001-12-31;1;0;-1;-1;-1;NA
"4184";2002-03-31;1;0;0;2;1;NA
"4972";2004-03-31;1;NA;0;1;-1;NA
"5463";2005-06-30;1;0;0;0;0;NA
"5976";2006-09-30;1;-2;0;0;-1;NA
"6084";2006-12-31;1;0;0;1;1;NA
"62109";2007-06-30;1;0;0;0;-1;NA
"63104";2007-09-30;1;-1;-1;0;1;NA
"6499";2007-12-31;1;-2;-2;-1;-2;NA
"65105";2008-03-31;1;NA;-1;1;0;NA
"66109";2008-06-30;1;NA;-1;-1;-1;NA
"67131";2008-09-30;1;-1;-1;0;-1;NA
"68130";2008-12-31;1;-1;-1;-1;0;NA
"69145";2009-03-31;1;0;0;0;0;NA
"70144";2009-06-30;1;0;-1;-1;0;NA
"75129";2010-09-30;1;NA;NA;0;0;NA
"80120";2011-12-31;1;0;-1;-1;-1;NA
"81107";2012-03-31;1;1;-1;-1;-1;NA
"82105";2012-06-30;1;-1;-2;-1;-2;NA
"83122";2012-09-30;1;1;0;0;1;NA
"8674";2013-06-30;1;0;0;0;0;NA
"8770";2013-09-30;1;0;0;0;0;NA
"88101";2013-12-31;1;-1;-1;0;0;NA
"91100";2014-09-30;1;-2;-2;-1;-2;NA
"9275";2014-12-31;1;-1;0;1;0;NA
"9375";2015-03-31;1;-2;-1;-2;-2;NA
"9465";2015-06-30;1;0;0;0;0;NA
"6500";1993-06-30;1;0;2;NA;NA;NA
"11125";1994-09-30;1;-1;NA;NA;NA;NA
"12122";1994-12-31;1;0;NA;NA;NA;NA
"13145";1995-03-31;1;1;1;NA;NA;NA
"14111";1995-06-30;1;0;0;NA;NA;NA
"15101";1995-09-30;1;0;0;NA;NA;NA
"16109";1995-12-31;1;0;0;NA;NA;NA
"17111";1996-03-31;1;0;0;NA;NA;NA
"18122";1996-06-30;1;1;1;NA;NA;NA
"19118";1996-09-30;1;1;-1;NA;NA;NA
"20118";1996-12-31;1;1;-1;NA;NA;NA
"25111";1998-03-31;1;0;0;NA;NA;NA
"3760";2001-03-31;1;0;-1;NA;NA;NA
"3857";2001-06-30;1;-1;-1;-1;0;NA
"3959";2001-09-30;1;0;0;0;0;NA
"4060";2001-12-31;1;-1;0;0;0;NA
"61163";2007-03-31;1;-1;-1;-1;-2;NA
"62110";2007-06-30;1;NA;0;1;0;NA
"63105";2007-09-30;1;NA;1;0;1;NA
"66110";2008-06-30;1;0;0;0;0;NA
"68131";2008-12-31;1;-1;-1;0;-1;NA
"71126";2009-09-30;1;0;0;1;0;NA
"72122";2009-12-31;1;0;0;0;0;NA
"73153";2010-03-31;1;0;0;0;0;NA
"74146";2010-06-30;1;0;NA;1;0;NA
