Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5,Q6,Q7A,Q7P,Q8A,Q8P,Q9,Q10,Q11A,Q11P,Q12A,Q12P,Q13A,Q13P,Q14,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
1,10628,3510,3,0.3,11Q4,,,,,,,,,1,1,3,1,3,3,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10628,3510,3,0.3,12Q1,,,,,,,,,1,2,2,2,2,3,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10628,3510,3,0.3,12Q2,,,,,,,,,1,2,2,2,2,3,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10628,3510,3,0.3,12Q3,,,,,,,,,1,2,,2,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10628,3510,3,0.3,12Q4,,,,,,,,,1,2,,2,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10629,3510,3,0.3,07Q3,2,3,3,3,3,,,1,2,3,3,3,3,1,2,3,3,3,3,3,3,2,FALSE,TRUE,FALSE,FALSE,FALSE
1,10629,3510,3,0.3,07Q4,,,,,,,,,2,3,3,3,3,1,2,3,3,3,3,3,3,1,FALSE,FALSE,FALSE,FALSE,FALSE
1,10629,3510,3,0.3,08Q1,2,3,3,3,3,3,3,1,2,3,3,3,3,1,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10629,3510,3,0.3,08Q2,,,,,,,,,2,3,2,3,3,3,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10629,3510,3,0.3,08Q3,2,3,1,2,1,2,2,1,2,2,1,2,1,1,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10629,3510,3,0.3,08Q4,2,3,2,3,3,3,3,1,2,3,2,3,3,1,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10629,3510,3,0.3,09Q1,2,2,,2,,3,,1,2,2,,2,,1,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10629,3510,3,0.3,09Q2,,,,,,,,,1,2,1,2,1,,2,3,2,2,1,2,1,3,FALSE,FALSE,FALSE,FALSE,FALSE
1,10629,3510,3,0.3,10Q1,,,,,,,,,1,1,1,1,1,3,1,,,,,,,3,FALSE,FALSE,FALSE,FALSE,FALSE
1,10629,3510,3,0.3,10Q2,,,,,,,,,1,2,2,1,1,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10629,3510,3,0.3,10Q3,1,2,1,2,1,,,,1,2,1,2,1,1,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10629,3510,3,0.3,10Q4,2,3,2,3,3,3,3,1,2,3,3,2,3,1,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10629,3510,3,0.3,11Q1,,,,,,,,,2,3,1,3,2,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10629,3510,3,0.3,11Q2,,,,,,,,,1,1,,2,,1,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10629,3510,3,0.3,11Q3,2,3,2,3,2,3,3,2,2,3,2,3,3,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10629,3510,3,0.3,11Q4,,,,,,,,,2,3,2,3,2,1,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10629,3510,3,0.3,12Q1,2,2,1,2,1,3,2,,2,2,1,2,2,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10629,3510,3,0.3,12Q3,,,,,,,,,2,3,1,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10630,3510,2,0.2,07Q3,,,,,,,,,2,3,3,,,2,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,10630,3510,2,0.2,07Q4,,,,,,,,,2,3,3,3,3,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10630,3510,2,0.2,08Q1,,,,,,,,,2,3,2,3,2,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10630,3510,2,0.2,08Q2,,,,,,,,,2,2,2,1,2,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10630,3510,2,0.2,08Q3,,,,,,,,,2,1,2,1,2,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10630,3510,2,0.19,09Q1,,,,,,,,,2,3,2,3,2,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10630,3510,2,0.19,09Q4,,,,,,,,,2,2,2,2,2,3,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10630,3510,2,0.19,10Q1,1,,,,,,,,1,1,,1,,3,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10630,3510,2,0.19,10Q2,,,,,,,,,2,1,,1,,3,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10630,3510,2,0.19,10Q3,,,,,,,,,1,1,1,1,1,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10630,3510,2,0.19,10Q4,,,,,,,,,2,2,2,2,2,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10630,3510,2,0.19,11Q1,,,,,,,,,1,1,,1,,3,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10630,3510,2,0.19,11Q2,,,,,,,,,2,2,2,2,2,3,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10630,3510,2,0.19,11Q4,,,,,,,,,2,3,3,3,3,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10630,3510,2,0.19,12Q1,,,,,,,,,2,3,1,3,1,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10630,3510,2,0.19,12Q2,,,,,,,,,1,2,,2,,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10630,3510,2,0.19,12Q3,,,,,,,,,2,2,1,2,1,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10631,3510,3,0.3,07Q3,,,,,,,,,1,1,2,1,2,2,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,10631,3510,3,0.3,07Q4,,,,,,,,,2,3,1,3,1,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10631,3510,3,0.3,08Q4,,,,,,,,,2,3,,3,,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10631,3510,3,0.3,09Q1,,,,,,,,,2,3,1,3,1,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10631,3510,3,0.3,09Q2,,,,,,,,,2,3,,3,1,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10631,3510,3,0.3,09Q3,,,,,,,,,2,1,1,1,1,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10631,3510,3,0.3,10Q1,1,,,,,,,,1,1,1,1,1,3,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10631,3510,3,0.3,10Q2,,,,,,,,,2,1,1,1,,3,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10631,3510,3,0.3,10Q3,,,,,,,,,2,2,1,3,1,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10631,3510,3,0.3,10Q4,2,2,,,,,,,2,2,1,2,1,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10631,3510,3,0.3,11Q1,,,,,,,,,2,1,1,1,1,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10631,3510,3,0.3,11Q2,,,,,,,,,2,3,,3,,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10631,3510,3,0.3,11Q3,,,,,,,,,2,3,3,3,3,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10631,3510,3,0.3,12Q1,,,,,,,,,2,1,1,1,1,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10631,3510,3,0.3,12Q2,,,,,,,,,1,1,1,1,1,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10631,3510,3,0.3,12Q3,,,,,,,,,2,3,2,3,2,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10632,3510,3,0.3,07Q3,2,,,,,,,,2,3,,3,,2,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,10633,3510,3,0.3,07Q3,,,,,,,,,1,3,1,3,2,1,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,10633,3510,3,0.3,07Q4,,,,,,,,,2,3,,3,,1,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
