"";"Datum";"factor";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"644";2007-12-31;0,9;NA;0;0;0;NA
"694";2009-03-31;0,9;NA;0;0;0;NA
"706";2009-06-30;0,9;NA;0;0;0;NA
"715";2009-09-30;0,9;NA;0;0;0;NA
"726";2009-12-31;0,9;NA;-1;0;-1;NA
"738";2010-03-31;0,9;NA;-1;0;0;NA
"746";2010-06-30;0,9;NA;0;0;0;NA
"755";2010-09-30;0,9;NA;1;0;1;NA
"784";2011-06-30;0,9;NA;-1;-1;-1;NA
"826";2012-06-30;0,9;NA;-1;-1;-2;NA
"838";2012-09-30;0,9;0;0;1;0;NA
"846";2012-12-31;0,9;-1;-1;0;0;NA
"856";2013-03-31;0,9;NA;1;0;1;NA
"885";2013-12-31;0,9;NA;0;-1;0;NA
"914";2014-09-30;0,9;0;0;-1;0;NA
"544";2005-06-30;0,8;NA;2;NA;NA;NA
"605";2006-12-31;0,8;NA;-1;0;1;NA
"612";2007-03-31;0,8;NA;0;0;0;NA
"622";2007-06-30;0,8;NA;-1;-1;-1;NA
"634";2007-09-30;0,8;NA;0;0;0;NA
"666";2008-06-30;0,8;NA;0;NA;NA;NA
"677";2008-09-30;0,8;NA;0;NA;NA;NA
"684";2008-12-31;0,8;NA;0;NA;NA;NA
"695";2009-03-31;0,8;NA;0;0;0;NA
"707";2009-06-30;0,8;NA;0;1;0;NA
"716";2009-09-30;0,8;NA;0;0;0;NA
"727";2009-12-31;0,8;NA;2;-1;0;NA
"739";2010-03-31;0,8;NA;-2;-1;-1;NA
"756";2010-09-30;0,8;NA;1;1;1;NA
"766";2010-12-31;0,8;NA;0;-1;-1;NA
"775";2011-03-31;0,8;NA;-2;0;-1;NA
"785";2011-06-30;0,8;NA;-1;NA;0;NA
"796";2011-09-30;0,8;NA;0;0;-1;NA
"839";2012-09-30;0,8;NA;1;NA;0;NA
"847";2012-12-31;0,8;NA;1;-2;-1;NA
"857";2013-03-31;0,8;0;0;0;-1;NA
"886";2013-12-31;0,8;0;-2;NA;-1;NA
"894";2014-03-31;0,8;0;-1;-1;0;NA
"936";2015-03-31;0,8;NA;-1;0;-1;NA
"545";2005-06-30;0,7;NA;-1;0;0;NA
"623";2007-06-30;0,7;NA;0;0;-1;NA
"654";2008-03-31;0,5;NA;1;0;0;NA
"667";2008-06-30;0,5;NA;1;0;0;NA
"678";2008-09-30;0,5;NA;-1;0;0;NA
"685";2008-12-31;0,5;NA;-1;-1;0;NA
"696";2009-03-31;0,5;NA;0;-1;0;NA
"708";2009-06-30;0,5;NA;0;1;0;NA
"717";2009-09-30;0,5;NA;-1;-1;0;NA
"728";2009-12-31;0,5;NA;-1;-1;-1;NA
"7310";2010-03-31;0,5;NA;1;0;1;NA
"747";2010-06-30;0,5;NA;0;-1;-1;NA
"776";2011-03-31;0,5;NA;0;0;0;NA
"786";2011-06-30;0,5;NA;0;0;0;NA
"797";2011-09-30;0,5;NA;0;0;1;NA
"807";2011-12-31;0,5;NA;1;0;1;NA
"816";2012-03-31;0,5;NA;0;0;0;NA
"827";2012-06-30;0,5;NA;1;-1;1;NA
"8310";2012-09-30;0,5;-1;0;1;NA;NA
"863";2013-06-30;0,5;0;-1;0;0;NA
"872";2013-09-30;0,5;-1;0;0;0;NA
