Streek,Idnr,Sektor,Gewig,Sektorw,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
05,13773,3130,5,0.058,1.74000001,14Q4,2,2,3,1,3,2,2,2,2,3,3,3,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
02,33451,3220,7,0.1,15,14Q4,1,2,2,2,2,,,2,2,2,2,2,3,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,13017,3240,5,0.05,1.5,14Q4,1,2,3,2,3,2,3,2,3,2,3,2,3,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
02,13858,3330,9,0.05,35,14Q4,2,,,3,3,2,2,2,2,1,1,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13461,3310,5,0.15,4.5,14Q4,2,3,3,3,3,3,3,2,3,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,14293,3370,3,0.049999999,0.349999994,14Q4,2,3,,3,3,3,3,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
03,51387,3220,5,0.1,3,14Q4,,2,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,13877,3110,8,0.057999999,17.39999962,14Q4,2,3,2,3,2,2,2,2,2,1,1,1,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
02,36045,3370,8,0.05,15,14Q4,1,2,2,1,1,1,1,2,2,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,96907,3230,2,0.200000008,0.600000024,14Q4,2,3,2,3,2,3,2,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,14277,3230,9,0.2,140,14Q4,1,1,1,1,2,1,2,1,2,2,1,2,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
02,51069,3110,5,0.058,1.74000001,14Q4,,1,1,1,1,2,2,2,2,1,1,1,1,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
04,36040,3370,2,0.050000002,0.150000006,14Q4,2,2,2,3,2,2,2,2,2,2,2,3,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,53039,3120,9,0.117999998,82.59999847,14Q4,,3,2,1,2,1,3,2,2,1,1,3,1,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
02,14616,3370,5,0.05,1.5,14Q4,1,3,2,1,2,1,2,2,1,2,1,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,51096,3120,9,0.117999998,82.59999847,14Q4,2,3,2,3,2,3,2,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,53044,3310,8,0.15,45,14Q4,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,96761,3370,4,0.05,0.75,14Q4,1,2,2,1,2,3,2,2,2,1,1,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,37455,3240,6,0.05,3.5,15Q3,2,3,2,3,3,3,3,3,2,1,1,2,2,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,37462,3220,5,0.1,3,15Q3,2,3,3,2,3,3,3,2,2,1,2,3,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,37463,3330,7,0.05,7.5,15Q3,2,2,2,2,2,2,2,3,2,1,2,1,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,37464,3310,7,0.15,22.5,15Q3,1,2,2,2,2,2,2,3,2,1,2,1,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
