Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Latecomer,NewRecruit,WrongClassif,Duplicate
01,36006,3330,9,35,2015Q3,2,2,2,2,2,2,2,1,2,1,1,1,1,2,1,FALSE,FALSE,FALSE,FALSE
02,36007,3220,5,3,2015Q3,1,2,2,1,2,1,2,2,2,1,1,1,1,2,2,FALSE,FALSE,FALSE,FALSE
06,36030,3330,8,15,2015Q3,2,3,2,3,2,3,2,2,2,1,1,1,1,3,2,FALSE,FALSE,FALSE,FALSE
05,36036,3230,9,140,2015Q3,2,3,3,3,3,3,3,3,3,1,1,1,1,3,2,FALSE,FALSE,FALSE,FALSE
04,36040,3370,2,0.150000006,2015Q3,2,3,,3,3,3,3,2,2,2,3,2,3,3,2,FALSE,FALSE,FALSE,FALSE
05,36047,3310,1,0.150000006,2015Q3,2,3,3,3,3,2,2,2,2,1,1,1,1,3,2,FALSE,FALSE,FALSE,FALSE
06,36055,3330,8,15,2015Q3,2,2,2,3,2,3,2,2,2,1,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE
06,36136,3140,5,1.74000001,2015Q3,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,FALSE,FALSE,FALSE,FALSE
03,36235,3310,4,2.25,2015Q3,2,3,1,3,1,2,2,2,2,1,1,1,1,3,2,FALSE,FALSE,FALSE,FALSE
06,37381,3310,5,4.5,2015Q3,1,1,2,1,2,1,2,2,2,1,2,1,2,1,2,FALSE,FALSE,FALSE,FALSE
05,37391,3330,1,0.050000001,2015Q3,1,2,2,2,2,2,2,2,2,1,2,2,2,3,2,FALSE,FALSE,FALSE,FALSE
06,37392,3330,9,35,2015Q3,2,2,2,2,2,2,2,3,3,1,1,1,1,3,2,FALSE,FALSE,FALSE,FALSE
01,37396,3220,7,15,2015Q3,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,FALSE,FALSE,FALSE,FALSE
06,37397,3220,6,7,2015Q3,2,3,3,3,3,3,3,3,3,1,1,1,1,3,2,FALSE,FALSE,FALSE,FALSE
05,37411,3310,8,45,2015Q3,2,3,3,3,3,3,3,2,2,3,3,3,3,3,1,FALSE,FALSE,FALSE,FALSE
06,37416,3210,9,35,2015Q3,1,2,2,1,1,2,1,2,2,2,2,2,2,1,2,FALSE,FALSE,FALSE,FALSE
06,37419,3220,5,3,2015Q3,2,3,2,3,2,3,2,2,2,1,2,1,2,3,3,FALSE,FALSE,FALSE,FALSE
06,37439,3370,6,3.5,2015Q3,2,,,3,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE
06,37449,3330,7,7.5,2015Q3,1,1,1,1,2,1,1,2,2,1,2,2,2,1,2,FALSE,FALSE,FALSE,FALSE
01,37451,3330,9,35,2015Q3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,FALSE,FALSE,FALSE,FALSE
06,37455,3240,6,3.5,2015Q3,2,3,2,3,3,3,3,3,2,1,1,2,2,3,3,FALSE,FALSE,FALSE,FALSE
05,37462,3220,5,3,2015Q3,2,3,3,2,3,3,3,2,2,1,2,3,2,3,1,FALSE,FALSE,FALSE,FALSE
