Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Dag,Q1AX,Q1PX,Q3A,Q3P,Q3AX,Q3PX,Q4AX,Q4PX,Q6,Q7,Q6bX,Q6cXi,Q6cXii,Q8,Q10,Q6eX,Q9,Q7aX,Q7bX,Q7cX,Q7dX,Q1,Q2A,Q2P
7,31468,5010,5,5,2001Q1,15,3,3,3,3,3,3,3,3,1,3,3,,,3,3,1,1,1,1,1,1,2,3,3
1,80423,5010,1,1,2001Q1,15,3,2,3,2,3,2,3,2,,2,3,,,2,3,3,1,1,1,1,1,2,3,
1,31443,5010,1,1,2001Q1,15,,,2,3,,,2,3,2,3,3,,,3,3,2,1,1,1,1,1,2,3,3
5,31374,5010,6,6,2001Q1,15,1,1,1,1,2,2,2,2,2,3,3,,,3,2,2,2,1,1,1,1,2,2,2
1,97007,5010,5,5,2001Q1,15,2,2,2,2,1,2,1,2,1,3,3,,,2,2,1,2,1,1,1,1,2,2,2
3,41294,5010,9,9,2001Q1,15,3,2,3,2,3,2,3,2,2,3,2,,,3,3,2,2,1,1,1,1,2,3,
5,97119,5010,9,9,2001Q1,15,1,1,1,1,1,,1,,2,3,2,,,3,3,3,2,1,1,1,1,2,1,
4,31453,5010,1,1,2001Q1,15,3,3,3,3,3,3,3,3,1,3,2,,,3,3,3,1,1,1,1,1,2,3,3
6,97355,5010,9,9,2001Q1,15,1,2,1,2,1,2,1,2,,3,3,,,3,2,2,3,,,,,,,
1,31523,5010,8,8,2001Q1,15,3,1,3,1,3,1,3,1,1,3,1,,,3,1,1,1,1,1,1,1,2,3,2
1,30628,5010,0,0,2001Q1,15,1,1,1,1,1,1,1,1,1,2,2,,,2,2,1,1,1,1,1,2,2,3,1
2,97087,5010,9,9,2001Q1,15,3,3,3,3,3,3,3,3,1,3,3,,,3,3,1,1,1,1,1,1,2,3,3
6,33118,5010,1,1,2001Q1,15,2,3,2,3,3,3,3,3,2,2,2,,,3,2,2,1,1,1,1,1,2,3,1
2,31527,5010,1,1,2001Q1,15,2,1,2,1,1,1,1,1,1,1,1,,,1,2,2,1,1,1,1,2,2,2,2
5,31395,5010,1,1,2001Q1,15,1,2,1,2,2,3,3,3,1,3,3,,,2,3,3,2,1,1,1,1,1,2,2
6,97012,5010,9,9,2001Q1,15,3,3,3,3,2,3,2,3,1,3,3,,,3,3,3,1,1,1,1,1,2,3,3
6,97135,5010,9,9,2001Q1,15,3,3,3,3,3,3,3,3,1,2,2,,,3,3,3,1,1,1,1,1,2,3,3
8,40132,5010,6,6,2001Q1,15,2,3,2,3,2,3,2,3,,3,3,,,3,2,2,2,1,1,1,1,2,3,
6,31211,5010,3,3,2001Q1,15,2,2,2,2,2,2,2,2,2,3,3,,,3,1,1,2,1,1,1,1,1,2,2
9,97166,5010,7,7,2001Q1,15,3,3,3,3,3,3,3,3,2,3,3,,,3,3,3,1,1,1,1,2,2,3,3
6,97186,5010,8,8,2001Q1,15,1,1,1,1,1,2,1,2,2,3,3,,,3,3,2,2,1,1,1,1,2,2,2
2,80492,5010,1,1,2001Q1,15,1,1,1,1,1,1,1,1,,2,1,,,2,2,2,2,1,1,1,1,1,1,1
4,97118,5010,9,9,2001Q1,15,1,2,1,2,3,2,3,2,,2,2,,,3,2,2,1,1,1,1,1,2,1,2
6,90890,5010,1,1,2001Q1,15,3,2,3,2,2,2,2,2,,,,,,,,,,,,,,,3,3
6,30770,5010,6,6,2001Q1,15,1,1,1,1,3,2,3,2,2,3,3,,,2,2,1,3,,,,,1,1,1
6,97168,5010,9,9,2001Q1,15,3,3,3,3,3,2,3,2,1,2,2,,,3,1,3,1,1,1,1,1,2,3,3
6,33106,5010,5,5,2001Q1,15,3,3,3,3,,,,,1,3,3,,,3,3,3,1,1,1,1,1,2,3,
1,30996,5010,9,9,2001Q1,15,3,3,3,3,3,3,3,3,,3,3,,,3,2,2,1,1,1,1,1,2,3,3
4,81379,5010,1,1,2001Q1,15,3,3,3,3,3,3,3,3,1,3,3,,,3,1,1,1,1,1,1,1,2,3,3
9,31147,5010,1,1,2001Q1,15,3,3,3,3,3,3,3,3,2,3,3,,,3,2,2,1,1,1,1,1,2,3,3
5,31397,5010,6,6,2001Q1,15,3,3,3,3,3,3,3,3,2,2,2,,,2,2,2,2,1,1,1,1,1,2,2
5,97019,5010,9,9,2001Q1,15,1,3,1,3,1,2,1,2,,3,3,,,3,3,2,1,1,1,1,1,2,3,3
6,31380,5010,1,1,2001Q1,15,3,3,3,3,3,,3,,1,3,3,,,3,2,2,1,1,1,1,1,2,3,3
2,31358,5010,1,1,2001Q1,15,2,1,1,1,1,2,2,2,1,3,2,,,3,2,1,1,1,1,1,1,2,2,2
2,31408,5010,3,3,2001Q1,15,1,1,1,1,2,,2,,1,2,2,,,3,1,1,1,1,1,1,1,2,1,1
5,31493,5010,9,9,2001Q1,15,1,1,1,1,2,2,2,2,1,3,3,,,3,2,1,1,1,1,1,1,2,1,2
1,96891,5010,9,9,2001Q1,15,2,1,2,1,2,2,2,2,1,3,3,,,3,3,1,1,1,1,1,1,2,2,2
2,80132,5010,1,1,2001Q1,15,2,3,2,3,2,3,2,3,1,2,2,,,2,2,2,2,1,1,1,1,2,3,3
1,34739,5010,6,6,2001Q1,15,1,2,1,2,2,2,2,2,2,2,2,,,3,2,1,1,1,1,1,1,2,1,2
1,34734,5010,9,9,2001Q1,15,1,1,1,1,1,1,1,1,2,2,2,,,3,3,3,2,1,1,1,1,2,1,1
5,34759,5010,5,5,2001Q1,15,1,,2,,3,,3,,1,3,3,,,3,2,2,1,1,1,1,1,2,2,
1,34757,5010,8,8,2001Q1,15,3,3,3,3,1,2,1,3,1,3,3,,,3,1,2,1,1,1,1,1,2,3,2
2,34755,5010,9,9,2001Q1,15,3,3,3,3,3,3,3,3,1,2,3,,,3,3,3,2,1,1,1,1,2,3,3
1,34774,5010,6,6,2001Q1,15,3,3,3,3,3,3,3,3,1,3,3,,,3,1,1,1,1,1,1,1,2,3,3
4,34789,5010,8,8,2001Q1,15,3,,3,,3,,3,,1,3,3,,,3,3,3,1,,,,,,,
2,34855,5010,4,4,2001Q1,15,2,2,3,3,2,3,3,3,1,3,3,,,2,2,2,1,1,1,1,1,2,2,3
5,34882,5010,7,7,2001Q1,15,3,3,3,3,3,3,3,3,1,3,3,,,3,1,1,1,,,,,,,
6,34898,5010,9,9,2001Q1,15,2,2,2,2,1,2,1,2,1,2,3,,,2,2,2,1,1,1,1,1,1,2,2
6,34905,5010,9,9,2001Q1,15,3,3,3,3,3,3,3,3,1,2,2,,,3,3,2,1,1,1,1,1,2,3,3
