Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
2,33451,3220,7,15,14Q4,1,2,2,2,2,,,2,2,2,2,2,3,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,13017,3240,5,1.5,14Q4,1,2,3,2,3,2,3,2,3,2,3,2,3,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,13858,3330,9,35,14Q4,2,,,3,3,2,2,2,2,1,1,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13461,3310,5,4.5,14Q4,2,3,3,3,3,3,3,2,3,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,14293,3370,3,0.349999994,14Q4,2,3,,3,3,3,3,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
3,51387,3220,5,3,14Q4,,2,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13877,3110,8,17.39999962,14Q4,2,3,2,3,2,2,2,2,2,1,1,1,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,36045,3370,8,15,14Q4,1,2,2,1,1,1,1,2,2,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96907,3230,2,0.600000024,14Q4,2,3,2,3,2,3,2,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,14277,3230,9,140,14Q4,1,1,1,1,2,1,2,1,2,2,1,2,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,51069,3110,5,1.74000001,14Q4,,1,1,1,1,2,2,2,2,1,1,1,1,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
4,36040,3370,2,0.150000006,14Q4,2,2,2,3,2,2,2,2,2,2,2,3,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,53039,3120,9,82.59999847,14Q4,,3,2,1,2,1,3,2,2,1,1,3,1,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,14616,3370,5,1.5,14Q4,1,3,2,1,2,1,2,2,1,2,1,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,51096,3120,9,82.59999847,14Q4,2,3,2,3,2,3,2,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,53044,3310,8,45,14Q4,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96761,3370,4,0.75,14Q4,1,2,2,1,2,3,2,2,2,1,1,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37455,3240,6,3.5,15Q3,2,3,2,3,3,3,3,3,2,1,1,2,2,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,37462,3220,5,3,15Q3,2,3,3,2,3,3,3,2,2,1,2,3,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,37463,3330,7,7.5,15Q3,2,2,2,2,2,2,2,3,2,1,2,1,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,37464,3310,7,22.5,15Q3,1,2,2,2,2,2,2,3,2,1,2,1,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,37467,3230,7,30,15Q3,2,3,2,3,3,3,3,3,3,2,1,2,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,37483,3220,5,3,15Q3,2,2,1,2,1,2,1,2,2,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37489,3330,4,0.75,15Q3,1,,,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37509,3160,9,40.59999847,15Q3,2,3,2,3,2,3,2,2,2,1,2,3,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
