Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Comments,Latecomer,NewRecruit,WrongClassific,Duplicate,Imputed
01,10070,0088,7,100,08q2,1,1,2,1,2,1,2,1,2,1,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10115,0088,1,100,06Q2,2,2,,3,,3,,3,,3,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10120,0088,2,100,06Q2,1,2,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10120,0088,2,100,07Q2,1,2,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10120,0088,2,100,08Q1,1,2,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10120,0088,2,100,08Q4,1,2,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10120,0088,2,100,09Q4,1,2,,2,,2,,2,,2,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10120,0088,2,100,10Q4,1,2,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10111,0088,4,100,06Q2,1,1,1,1,3,3,1,3,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10122,0088,4,100,06Q3,2,1,1,3,1,3,3,3,1,3,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10122,0088,4,100,06Q4,1,1,1,1,2,3,1,3,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10122,0088,4,100,07Q1,1,2,1,1,1,1,1,1,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10122,0088,4,100,07Q2,1,2,1,1,1,1,1,1,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10122,0088,4,100,08q2,1,1,2,1,1,3,1,2,2,2,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10122,0088,4,100,08Q3,1,1,2,3,1,1,1,2,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10122,0088,4,100,08Q4,2,,,2,2,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10122,0088,4,100,09Q1,2,2,3,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10122,0088,4,100,09Q2,2,2,3,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10122,0088,4,100,09Q3,2,3,3,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10122,0088,4,100,09Q4,2,3,3,3,3,3,1,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10122,0088,4,100,10Q1,2,3,2,3,1,3,1,3,1,3,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10122,0088,4,100,10Q3,2,2,2,3,1,1,2,2,2,2,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10122,0088,4,100,10Q4,2,2,2,3,2,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10122,0088,4,100,11Q1,2,2,2,3,2,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10122,0088,4,100,11Q2,2,2,2,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10122,0088,4,100,11Q3,2,2,3,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10122,0088,4,100,12Q1,2,2,2,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10122,0088,4,100,12Q3,2,3,2,3,2,3,2,3,2,3,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10122,0088,4,100,12Q4,2,2,2,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10190,0088,2,100,06Q2,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE
01,10190,0088,2,100,06Q3,1,2,2,1,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10190,0088,2,100,06Q4,1,2,2,2,2,3,3,3,3,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10190,0088,2,100,07Q1,1,2,,2,,1,,2,,2,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10190,0088,2,100,07Q2,1,2,,1,,2,,2,,2,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10190,0088,2,100,07Q3,1,2,2,2,2,1,2,1,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10190,0088,2,100,07Q4,1,2,2,2,2,3,1,2,1,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10190,0088,2,100,08Q1,1,2,2,2,1,1,1,1,1,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10190,0088,2,100,08q2,1,2,2,1,,2,1,2,1,2,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10190,0088,2,100,08Q3,1,2,,1,,1,,1,,1,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10190,0088,2,100,08Q4,1,2,,2,,1,,1,,1,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10190,0088,2,100,09Q1,1,2,2,2,2,2,1,1,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10190,0088,2,100,09Q2,1,1,2,2,2,2,2,1,2,1,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10190,0088,2,100,09Q3,1,2,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10190,0088,2,100,11Q1,2,2,2,1,2,2,2,3,2,3,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10190,0088,2,100,11Q2,1,2,2,2,2,1,2,1,1,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10190,0088,2,100,12Q3,1,2,2,1,1,2,1,2,1,2,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30512,0088,2,100,06Q2,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE
01,30512,0088,2,100,06Q3,,3,2,3,3,3,2,3,1,3,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30512,0088,2,100,07Q2,1,2,2,2,2,2,2,1,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30512,0088,2,100,07Q3,1,2,2,2,2,1,3,1,3,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30512,0088,2,100,08q2,,2,1,2,1,2,1,2,1,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30512,0088,2,100,08Q4,,2,2,2,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30512,0088,2,100,09Q1,2,2,2,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30512,0088,2,100,09Q3,2,2,2,3,2,3,2,3,2,3,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30512,0088,2,100,09Q4,1,2,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30512,0088,2,100,10Q1,2,3,2,3,2,3,2,3,2,3,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30512,0088,2,100,10Q2,2,2,2,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30512,0088,2,100,10Q3,2,2,2,1,2,1,2,2,2,3,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30512,0088,2,100,11Q1,2,3,3,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30512,0088,2,100,11Q2,2,2,2,3,1,3,1,3,1,3,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30512,0088,2,100,12Q1,2,2,2,2,1,3,1,3,1,3,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30512,0088,2,100,12Q3,2,2,2,1,2,2,2,1,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30512,0088,2,100,12Q4,2,1,2,2,3,2,3,2,3,2,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10210,0088,2,100,06Q2,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE
01,10272,0088,4,100,06Q2,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE
01,10272,0088,4,100,06Q3,1,2,2,1,2,1,2,2,2,1,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10272,0088,4,100,06Q4,1,2,2,2,2,1,2,1,2,1,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10272,0088,4,100,07Q1,1,2,2,2,2,2,2,2,2,1,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10272,0088,4,100,07Q2,1,2,2,1,2,1,2,1,2,1,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10272,0088,4,100,08Q1,1,2,2,3,2,3,2,3,2,3,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10272,0088,4,100,08q2,2,2,2,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10272,0088,5,100,08Q3,1,2,2,1,2,1,2,1,2,1,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10272,0088,5,100,08Q4,1,2,2,2,3,2,2,2,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10272,0088,5,100,09Q1,1,2,2,2,2,2,2,2,2,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10272,0088,5,100,09Q2,1,2,2,2,2,1,2,2,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10272,0088,5,100,09Q3,1,2,2,2,2,1,2,1,2,1,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10272,0088,5,100,10Q2,1,2,2,2,3,3,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10272,0088,5,100,10Q3,1,2,2,2,2,3,3,1,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10272,0088,5,100,10Q4,1,2,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10272,0088,5,100,11Q1,1,2,2,3,2,3,3,3,3,3,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10272,0088,5,100,11Q2,1,2,2,3,2,2,3,3,1,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10272,0088,5,100,11Q4,1,2,2,1,2,1,1,1,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10272,0088,5,100,12Q1,1,2,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10272,0088,5,100,12Q3,1,2,2,1,2,1,1,1,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,12265,0088,3,100,10Q3,2,2,2,1,1,3,2,3,2,3,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,12265,0088,3,100,10Q4,1,2,3,2,1,2,2,2,2,2,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,12265,0088,3,100,11Q1,1,3,2,1,1,3,2,3,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,12265,0088,3,100,11Q2,2,3,3,1,1,2,1,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,12265,0088,3,100,11Q3,1,1,1,1,1,2,1,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,12265,0088,3,100,11Q4,1,3,2,1,1,2,1,3,2,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,12265,0088,3,100,12Q1,1,1,2,1,2,2,2,1,2,1,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,12265,0088,3,100,12Q2,1,2,2,3,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,12265,0088,3,100,12Q3,1,1,1,1,1,1,1,1,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,12265,0088,3,100,12Q4,1,1,1,1,1,2,1,2,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,12266,0088,2,100,10Q2,2,2,1,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,12266,0088,2,100,10Q3,2,2,2,3,3,3,1,1,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,12266,0088,2,100,10Q4,2,2,1,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
