"";"Datum";"factor";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"7910";2011-09-30;0,45;1;2;1;NA;NA
"808";2011-12-31;0,45;1;0;0;NA;NA
"8610";2013-06-30;0,45;1;1;0;NA;NA
"879";2013-09-30;0,45;0;0;0;NA;NA
"8810";2013-12-31;0,45;0;1;1;NA;NA
"8910";2014-03-31;0,45;0;0;-1;NA;NA
"909";2014-06-30;0,45;0;0;1;NA;NA
"919";2014-09-30;0,45;-1;0;-1;NA;NA
"928";2014-12-31;0,45;0;0;1;NA;NA
"939";2015-03-31;0,45;2;2;-1;NA;NA
"949";2015-06-30;0,45;1;1;0;NA;NA
"7810";2011-06-30;0,9;0;0;0;NA;NA
"7911";2011-09-30;0,9;0;0;0;NA;NA
"809";2011-12-31;0,9;1;1;1;NA;NA
"817";2012-03-31;0,9;0;0;0;NA;NA
"8411";2012-12-31;0,9;-1;1;0;NA;NA
"8510";2013-03-31;0,9;1;1;0;NA;NA
"8710";2013-09-30;0,9;-1;-1;0;NA;NA
"8811";2013-12-31;0,9;2;2;2;NA;NA
"8911";2014-03-31;0,9;1;1;1;NA;NA
"9010";2014-06-30;0,9;1;1;1;NA;NA
"9110";2014-09-30;0,9;1;0;0;NA;NA
"929";2014-12-31;0,9;0;0;-1;NA;NA
"9310";2015-03-31;0,9;0;0;0;NA;NA
"9410";2015-06-30;0,9;0;0;0;NA;NA
"769";2010-12-31;0,2;0;0;0;NA;NA
"8611";2013-06-30;0,2;-1;-1;-1;NA;NA
"8711";2013-09-30;0,2;-1;0;0;NA;NA
"8812";2013-12-31;0,2;0;1;0;NA;NA
"8912";2014-03-31;0,2;-1;-1;0;NA;NA
"9011";2014-06-30;0,2;-1;0;0;NA;NA
"9111";2014-09-30;0,2;0;0;0;NA;NA
"9210";2014-12-31;0,2;0;0;0;NA;NA
"9311";2015-03-31;0,2;0;0;0;NA;NA
"9411";2015-06-30;0,2;1;1;0;NA;NA
"8010";2011-12-31;0,1;0;0;0;NA;NA
"9312";2015-03-31;0,1;0;0;0;NA;NA
"9412";2015-06-30;0,1;0;-1;0;NA;NA
"7610";2010-12-31;0,522;0;0;0;NA;NA
"777";2011-03-31;0,522;0;1;1;NA;NA
"7811";2011-06-30;0,522;NA;1;1;NA;NA
"7912";2011-09-30;0,522;0;0;1;NA;NA
"8011";2011-12-31;0,522;NA;1;0;NA;NA
"837";2012-09-30;0,522;0;0;0;NA;NA
"8813";2013-12-31;0,522;1;1;1;NA;NA
"9413";2015-06-30;0,522;0;0;0;NA;NA
"7611";2010-12-31;0,75;0;0;-1;NA;NA
"778";2011-03-31;0,75;0;0;-1;NA;NA
"7812";2011-06-30;0,75;0;0;1;NA;NA
"7913";2011-09-30;0,75;NA;0;0;NA;NA
"8012";2011-12-31;0,75;1;1;0;NA;NA
"8712";2013-09-30;0,75;2;0;1;NA;NA
"9112";2014-09-30;0,75;-1;0;0;NA;NA
"9414";2015-06-30;0,75;NA;1;NA;NA;NA
"7612";2010-12-31;0,75;1;1;0;NA;NA
"8013";2011-12-31;0,75;1;2;0;NA;NA
"818";2012-03-31;0,75;0;0;0;NA;NA
"826";2012-06-30;0,75;-1;-1;0;NA;NA
"8814";2013-12-31;0,75;1;0;0;NA;NA
"8913";2014-03-31;0,75;-1;0;-1;NA;NA
"9012";2014-06-30;0,75;0;-1;0;NA;NA
"9113";2014-09-30;0,75;-1;0;0;NA;NA
"9211";2014-12-31;0,75;1;1;1;NA;NA
"7613";2010-12-31;0,348;0;-1;1;NA;NA
"779";2011-03-31;0,348;-2;-2;0;NA;NA
"7813";2011-06-30;0,348;1;1;0;NA;NA
"819";2012-03-31;0,348;0;0;0;NA;NA
"827";2012-06-30;0,348;0;0;0;NA;NA
"838";2012-09-30;0,348;0;0;0;NA;NA
"8412";2012-12-31;0,348;0;0;0;NA;NA
"8511";2013-03-31;0,348;0;0;0;NA;NA
"8612";2013-06-30;0,348;-1;-2;0;NA;NA
"8713";2013-09-30;0,348;0;0;0;NA;NA
"8815";2013-12-31;0,348;0;1;1;NA;NA
"9114";2014-09-30;0,348;-1;0;-1;NA;NA
