Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Dag,Q3A,Q3P,Q4A,Q4P,Q9,Q4AX,Q5A,Q6AX,Q6P,Q7AX,Q7P,Q2A,Q1,Q2P
6,97107,3330,6,0.30000,2001Q1,25,3,,3,,2,1,,,1,,1,3,2,1
2,96498,3330,7,0.35000,2001Q1,25,2,2,2,2,1,3,2,,1,,3,3,2,3
2,51279,3120,9,0.72000,2001Q1,25,3,3,3,3,2,2,3,,2,,2,3,2,3
5,51365,3210,2,0.14000,2001Q1,25,3,3,3,3,2,2,2,,1,,1,3,2,3
5,53039,3120,9,0.72000,2001Q1,25,1,1,1,1,1,,2,,1,,1,2,1,2
2,33225,3230,1,0.20000,2001Q1,25,3,,3,,1,2,2,,1,,2,3,2,3
5,51485,3220,1,0.08000,2001Q1,25,2,1,2,1,2,2,2,,1,,1,2,1,1
6,96530,3420,1,0.09000,2001Q1,25,3,3,3,3,2,3,2,,,,2,,2,3
1,96666,3340,7,0.21000,2001Q1,25,2,2,2,2,2,2,2,,1,,1,2,1,2
1,96570,3110,4,0.23733,2001Q1,25,1,1,1,1,2,,2,,2,,2,1,2,1
6,96450,3160,3,0.09429,2001Q1,25,3,2,3,2,2,2,2,,2,,2,2,1,2
5,96837,3350,1,0.03000,2001Q1,25,2,,3,,2,,3,,2,,1,1,2,3
6,96758,3230,1,0.20000,2001Q1,25,3,3,3,3,2,,3,,1,,1,3,2,3
6,51034,3110,3,0.17571,2001Q1,25,3,3,2,2,2,3,3,,1,,2,3,2,3
6,96780,3230,1,0.20000,2001Q1,25,3,2,3,2,,3,2,,1,,2,3,2,3
6,52079,3330,6,0.30000,2001Q1,25,1,2,1,2,2,3,2,,2,,2,2,1,1
2,51243,3160,1,0.03000,2001Q1,25,3,3,2,2,,3,3,,1,,1,3,2,2
5,51985,3330,7,0.35000,2001Q1,25,1,1,1,1,2,1,2,,2,,2,3,1,2
6,96454,3220,1,0.08000,2001Q1,25,1,1,1,1,2,1,2,,2,,2,1,2,1
6,53099,3370,4,0.12000,2001Q1,25,1,2,1,2,2,2,3,,1,,1,1,1,2
6,96503,3110,2,0.12000,2001Q1,25,1,1,3,2,3,1,2,,1,,2,1,2,1
1,96439,3120,4,0.32000,2001Q1,25,1,,3,,1,3,2,,2,,2,3,2,2
2,51069,3110,5,0.29500,2001Q1,25,2,2,2,2,2,2,2,,2,,2,2,2,2
3,53269,3230,6,1.20000,2001Q1,25,1,2,1,2,2,2,2,,1,,1,1,1,2
5,51702,3230,1,0.20000,2001Q1,25,2,,2,,2,2,2,,1,,1,2,1,2
5,51837,3310,4,0.24000,2001Q1,25,1,1,1,1,2,2,2,,1,,1,1,1,1
1,96695,3240,4,0.20000,2001Q1,25,3,3,3,3,3,2,2,,1,,1,3,2,3
5,51505,3220,1,0.08000,2001Q1,25,2,2,2,2,2,2,2,,2,,2,2,2,2
5,51845,3310,4,0.24000,2001Q1,25,1,,1,,2,2,2,,1,,1,1,1,1
2,97224,3340,1,0.03000,2001Q1,25,3,3,3,3,2,,2,,1,,2,3,2,3
1,96392,3230,4,0.80000,2001Q1,25,3,2,3,2,2,3,2,,1,,3,3,2,3
1,96945,3220,4,0.32000,2001Q1,25,3,2,3,2,1,2,2,,1,,1,3,2,3
2,97315,3220,5,0.40000,2001Q1,25,3,2,3,2,2,1,3,,2,,1,3,2,3
5,51375,3220,7,0.56000,2001Q1,25,1,2,2,2,2,2,2,,2,,2,2,2,2
5,97111,3230,5,1.00000,2001Q1,25,2,,2,,2,2,2,,1,,1,3,2,1
6,96775,3330,7,0.35000,2001Q1,25,1,1,1,1,2,2,2,,1,,1,2,1,1
6,96444,3160,4,0.12800,2001Q1,25,1,1,1,1,2,2,3,,1,,1,1,1,1
6,51543,3230,2,0.40000,2001Q1,25,2,,2,,2,2,2,,2,,2,2,1,2
9,31521,3310,3,0.18000,2001Q1,25,3,2,3,,2,2,2,,1,,2,2,2,2
4,90997,3110,4,0.23733,2001Q1,25,2,2,3,3,1,1,3,,1,,1,3,1,2
6,51862,3310,9,0.54000,2001Q1,25,1,1,1,1,2,2,3,,3,,3,3,2,2
6,51546,3370,6,0.18000,2001Q1,25,3,2,3,2,1,2,3,,3,,3,2,2,2
5,96487,3310,4,0.24000,2001Q1,25,3,,3,,2,3,2,,1,,3,3,2,2
6,96582,3140,1,0.06000,2001Q1,25,3,3,3,3,2,3,2,,3,,3,3,2,3
2,96785,3310,9,0.54000,2001Q1,25,1,1,1,1,1,2,3,,1,,1,1,2,1
1,96584,3230,2,0.40000,2001Q1,25,3,2,3,2,2,1,2,,1,,2,3,2,3
3,51337,3210,5,0.34500,2001Q1,25,3,3,3,3,1,2,2,,2,,2,3,2,3
5,97335,3140,1,0.06000,2001Q1,25,3,3,3,3,1,2,2,,1,,2,3,2,1
7,51019,3110,3,0.17571,2001Q1,25,2,2,2,,2,2,1,,1,,2,2,1,2
5,33143,3220,5,0.40000,2001Q1,25,3,3,3,3,2,2,2,,1,,1,3,2,3
5,96441,3340,3,0.09000,2001Q1,25,1,1,1,,,2,2,,1,,2,1,1,1
2,51449,3220,5,0.40000,2001Q1,25,1,2,1,2,2,1,2,,1,,1,2,1,2
1,96471,3120,7,0.56000,2001Q1,25,3,3,3,3,2,1,3,,1,,1,3,2,3
5,51125,3130,2,0.06000,2001Q1,25,3,3,3,3,3,,2,,1,,1,3,2,3
1,96969,3330,3,0.15000,2001Q1,25,2,2,2,2,2,2,2,,2,,2,2,1,2
2,33362,3310,5,0.30000,2001Q1,25,1,1,1,1,1,1,2,,1,,1,1,1,1
1,96742,3230,4,0.80000,2001Q1,25,3,3,3,3,,2,2,,1,,2,3,2,3
5,96424,3210,1,0.07000,2001Q1,25,3,2,3,2,2,2,2,,1,,1,3,2,2
6,96856,3230,1,0.20000,2001Q1,25,3,,3,,2,2,2,,3,,3,3,1,3
6,51047,3110,3,0.17571,2001Q1,25,3,3,3,3,2,3,2,,1,,2,3,2,3
5,51334,3210,9,0.62100,2001Q1,25,3,2,3,2,2,3,3,,2,,2,3,2,2
5,51668,3230,4,0.80000,2001Q1,25,1,2,1,2,2,2,2,,2,,2,1,1,2
2,51495,3220,5,0.40000,2001Q1,25,2,2,2,1,2,2,2,,3,,2,3,2,1
5,96723,3160,1,0.03000,2001Q1,25,2,2,3,2,2,2,2,,1,,2,3,2,2
4,52044,3330,6,0.30000,2001Q1,25,1,1,1,1,2,1,2,,1,,,1,1,1
5,51479,3220,3,0.24000,2001Q1,25,2,2,2,,2,1,3,,1,,3,2,2,2
5,96605,3120,7,0.56000,2001Q1,25,3,,3,,2,3,3,,1,,1,3,2,3
5,51825,3310,1,0.06000,2001Q1,25,3,2,3,3,3,2,2,,1,,,3,2,2
6,51874,3340,9,0.27000,2001Q1,25,3,,3,,2,2,2,,2,,2,3,2,2
5,96520,3140,4,0.24000,2001Q1,25,1,2,2,2,2,2,2,,2,,2,2,1,2
7,53236,3230,3,0.60000,2001Q1,25,3,2,3,2,1,2,3,,1,,1,3,2,2
1,96546,3120,5,0.40000,2001Q1,25,3,3,3,3,1,1,3,,1,,1,3,2,2
1,96474,3220,9,0.72000,2001Q1,25,3,3,3,3,2,2,3,,1,,2,3,2,3
1,51059,3110,4,0.23733,2001Q1,25,3,2,3,3,3,1,2,,2,,2,3,2,2
1,51045,3110,4,0.23733,2001Q1,25,3,3,3,3,3,2,2,,1,,1,3,2,2
1,96968,3240,1,0.05000,2001Q1,25,2,1,2,1,2,2,2,,2,,2,1,1,1
5,97013,3230,2,0.40000,2001Q1,25,3,1,3,1,2,1,3,,1,,1,3,2,1
7,53242,3420,3,0.27000,2001Q1,25,2,3,2,3,,2,2,,3,,2,3,2,3
6,52109,3340,2,0.06000,2001Q1,25,2,1,2,1,2,2,3,,2,,2,2,2,2
5,52022,3330,9,0.45000,2001Q1,25,1,2,2,2,2,1,3,,1,,1,1,2,2
1,96976,3140,5,0.30000,2001Q1,25,3,2,3,2,1,3,2,,2,,,3,2,2
6,51894,3140,2,0.12000,2001Q1,25,3,,3,,2,3,3,,1,,1,3,2,2
5,96860,3230,4,0.80000,2001Q1,25,3,1,3,1,2,3,2,,,,,2,1,1
6,97247,3230,7,1.40000,2001Q1,25,2,2,,,2,2,3,,3,,3,2,2,3
6,51403,3220,7,0.56000,2001Q1,25,1,2,1,2,2,2,2,,1,,1,2,2,2
5,97283,3220,7,0.56000,2001Q1,25,1,1,1,1,1,2,1,,1,,2,2,1,1
5,96685,3220,3,0.24000,2001Q1,25,1,,,,2,2,2,,1,,1,2,1,2
6,96423,3420,6,0.54000,2001Q1,25,1,1,1,1,2,1,2,,1,,1,1,1,1
4,51521,3220,4,0.32000,2001Q1,25,1,1,1,1,2,2,2,,1,,1,1,1,1
3,30495,3230,4,0.80000,2001Q1,25,1,,1,,2,1,2,,1,,1,2,1,2
2,51010,3110,8,0.47200,2001Q1,25,2,2,3,3,2,2,2,,2,,2,3,2,2
2,51489,3220,6,0.48000,2001Q1,25,1,2,1,2,2,3,2,,2,,2,3,2,2
1,97311,3210,6,0.41400,2001Q1,25,2,3,2,3,2,2,2,,3,,3,2,2,3
6,96942,3220,7,0.56000,2001Q1,25,1,,1,,2,3,2,,1,,1,2,1,2
6,96447,3220,9,0.72000,2001Q1,25,1,1,1,1,2,2,2,,1,,1,1,2,1
1,96400,3220,4,0.32000,2001Q1,25,1,1,1,1,2,2,2,,1,,1,2,1,2
1,96669,3330,8,0.40000,2001Q1,25,1,1,1,1,2,3,3,,1,,1,1,1,1
1,96568,3340,5,0.15000,2001Q1,25,1,2,1,2,1,2,2,,2,,2,2,2,2
1,96421,3330,2,0.10000,2001Q1,25,3,3,3,3,2,2,3,,2,,2,3,2,3
1,51962,3370,5,0.15000,2001Q1,25,3,3,3,3,1,1,2,,1,,1,3,2,3
6,51096,3120,9,0.72000,2001Q1,25,1,1,2,2,1,1,2,,1,,1,3,2,1
1,51025,3110,7,0.41300,2001Q1,25,3,3,3,3,2,2,3,,2,,2,3,2,1
1,97197,3330,1,0.05000,2001Q1,25,1,1,1,1,2,2,1,,,,1,1,1,2
1,96401,3120,6,0.48000,2001Q1,25,1,3,2,3,2,1,2,,1,,1,2,1,3
1,96375,3110,5,0.29500,2001Q1,25,3,3,3,3,1,2,2,,2,,2,3,2,3
1,96673,3210,1,0.07000,2001Q1,25,2,1,2,1,2,1,2,,1,,2,1,1,1
1,96704,3310,3,0.18000,2001Q1,25,2,2,2,2,2,3,2,,1,,2,3,2,2
1,96698,3220,1,0.08000,2001Q1,25,2,2,2,2,2,2,2,,1,,1,3,1,3
1,96932,3350,6,0.18000,2001Q1,25,3,,3,,1,2,1,,1,,2,3,2,2
1,96373,3160,3,0.09429,2001Q1,25,3,,3,,3,2,2,,2,,2,3,1,1
1,96467,3130,3,0.09000,2001Q1,25,3,2,3,3,2,1,2,,2,,,3,2,2
1,96410,3160,3,0.09429,2001Q1,25,3,2,3,3,2,3,2,,1,,2,3,2,2
1,96760,3210,5,0.34500,2001Q1,25,3,3,3,3,1,3,3,,1,,3,3,2,2
1,96647,3140,4,0.24000,2001Q1,25,3,3,3,3,3,3,3,,2,,,3,2,3
1,97242,3220,5,0.40000,2001Q1,25,1,1,1,1,2,2,1,,3,,3,1,1,1
1,96483,3420,2,0.18000,2001Q1,25,1,,2,,2,1,2,,1,,,2,1,2
1,96895,3140,2,0.12000,2001Q1,25,3,3,3,3,2,2,2,,2,,2,3,2,2
1,96898,3130,4,0.12000,2001Q1,25,3,3,3,3,2,2,2,,1,,1,3,2,3
2,33205,3140,3,0.18000,2001Q1,25,3,1,3,1,2,2,2,,1,,1,3,2,1
2,51476,3220,4,0.32000,2001Q1,25,3,3,3,3,2,1,2,,2,,2,3,2,3
2,51001,3110,5,0.29500,2001Q1,25,3,3,,,,3,,,2,,,3,2,3
1,96925,3160,5,0.16000,2001Q1,25,2,2,2,2,1,2,3,,1,,1,2,1,2
1,96393,3140,2,0.12000,2001Q1,25,3,2,3,2,2,,2,,1,,1,3,2,3
5,96706,3370,1,0.03000,2001Q1,25,2,3,2,2,2,1,2,,2,,2,3,2,2
1,51598,3230,8,1.60000,2001Q1,25,3,3,3,3,1,2,3,,2,,2,3,2,3
2,96934,3160,1,0.03000,2001Q1,25,2,2,3,2,2,3,3,,1,,2,1,2,2
2,51501,3220,4,0.32000,2001Q1,25,3,3,3,3,1,2,2,,3,,3,3,2,3
3,51610,3230,4,0.80000,2001Q1,25,3,3,3,3,2,3,3,,1,,1,3,2,3
2,33359,3220,5,0.40000,2001Q1,25,3,2,3,2,2,2,3,,2,,2,3,2,2
5,96409,3340,4,0.12000,2001Q1,25,2,2,2,2,2,1,2,,2,,2,3,2,3
1,51967,3330,7,0.35000,2001Q1,25,1,1,1,1,2,1,2,,1,,1,1,1,2
2,51494,3220,5,0.40000,2001Q1,25,3,3,3,3,2,3,2,,3,,3,3,2,3
1,51203,3170,6,0.24000,2001Q1,25,1,1,1,1,2,3,3,,1,,1,1,1,1
1,96702,3240,6,0.30000,2001Q1,25,2,2,2,2,2,2,2,,1,,1,3,2,3
1,96761,3370,4,0.12000,2001Q1,25,3,3,3,3,2,2,3,,1,,2,3,2,2
1,96477,3210,4,0.27733,2001Q1,25,1,2,1,2,2,3,1,,1,,1,1,1,1
1,51580,3240,9,0.45000,2001Q1,25,3,3,3,3,1,1,2,,1,,2,3,2,3
1,96663,3330,8,0.40000,2001Q1,25,3,2,3,2,2,3,3,,2,,3,3,2,2
1,96674,3170,6,0.24000,2001Q1,25,3,3,3,3,2,2,2,,1,,1,3,2,3
1,96907,3230,2,0.40000,2001Q1,25,3,3,3,3,2,3,3,,2,,2,3,2,3
5,96458,3130,3,0.09000,2001Q1,25,3,3,3,3,3,,2,,2,,2,3,,2
3,40716,3110,4,0.23733,2001Q1,25,2,,2,2,2,1,2,,1,,1,3,2,2
5,96466,3120,2,0.16000,2001Q1,25,3,2,,,2,3,2,,,,1,3,2,3
2,51012,3110,6,0.35400,2001Q1,25,3,3,3,3,1,2,3,,2,,2,3,2,3
2,33200,3240,3,0.15000,2001Q1,25,1,2,1,2,2,2,2,,1,,2,1,1,1
1,51272,3170,4,0.16000,2001Q1,25,3,2,3,2,1,1,2,,1,,1,3,2,2
1,52047,3330,8,0.40000,2001Q1,25,3,1,3,1,2,2,2,,2,,2,3,2,2
