Streek,Idnr,Sektor,Gewig,Sektorw,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
05,14262,2210,8,0.125,37.5,15Q3,2,2,,2,3,2,3,2,2,3,1,3,3,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,14264,2220,3,0.125,0.875,15Q3,2,3,1,3,2,3,2,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,14273,2230,3,0.125,0.875,15Q3,1,3,1,1,1,2,2,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,14295,2110,5,0.214000003,6.420000076,15Q2,1,3,2,3,3,3,3,1,2,1,1,3,3,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
06,14642,2220,5,0.125,3.75,15Q3,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,14653,2130,7,0.143000005,21.45000076,15Q3,2,3,3,2,2,2,2,2,2,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,14654,2110,7,0.21399999,32.09999847,15Q3,2,3,3,2,3,3,3,2,3,1,1,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,14655,2220,7,0.125,18.75,15Q2,2,3,3,3,3,2,2,3,2,2,1,1,1,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
02,14657,2130,3,0.143000007,1.001000047,15Q3,2,2,2,1,3,1,3,3,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,14661,2110,7,0.21399999,32.09999847,15Q3,1,2,,1,,1,,2,,1,,1,,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,14663,2110,7,0.21399999,32.09999847,15Q3,2,3,3,3,3,3,3,2,2,1,3,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,14665,2210,2,0.125,0.375,15Q3,1,2,1,2,1,2,1,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,14667,2110,7,0.21399999,32.09999847,15Q3,2,3,3,3,3,3,3,3,3,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,14708,2130,5,0.142999999,4.289999962,15Q3,1,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,14712,2110,7,0.21399999,32.09999847,15Q3,1,2,,2,,2,,2,,1,,1,,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,14766,2110,8,0.21399999,64.19999695,15Q3,1,2,2,2,2,2,2,2,2,1,1,2,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,14022,2120,6,0.143000003,10.01000023,14Q4,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
02,14241,2220,9,0.125,87.5,14Q4,1,2,2,2,2,2,2,1,2,1,2,1,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,14273,2230,3,0.125,0.875,14Q4,1,2,1,3,1,2,2,1,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,14700,2110,5,0.214000003,6.420000076,14Q4,1,1,2,1,2,2,3,2,2,2,1,2,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,13963,2210,5,0.125,3.75,14Q4,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
04,50717,2210,3,0.125,0.875,14Q4,2,2,,3,2,3,2,3,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13048,2110,2,0.214000007,0.64200002,14Q4,2,3,3,2,3,2,3,2,3,2,3,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,13148,2230,4,0.125,1.875,14Q4,2,3,3,3,3,3,3,3,3,1,1,3,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
